Symbol,First Date,Last Date,Days
1INCH,2021-04-09,2021-10-28,203
AAVE,2021-01-01,2025-10-25,1759
ABT,2022-07-21,2022-10-28,100
ACH,2021-08-03,2021-10-28,87
ADA,2021-03-18,2021-10-28,225
AERO,2024-02-06,2024-10-27,265
AIOZ,2022-03-08,2022-10-28,235
AKT,2024-03-19,2024-10-27,223
ALGO,2020-01-01,2025-10-25,2125
ALICE,2022-02-24,2022-10-28,247
ALT,2025-03-27,2025-10-25,213
AMP,2021-06-10,2021-10-28,141
ANKR,2021-03-25,2021-10-28,218
APE,2022-03-17,2022-10-28,226
API3,2022-01-01,2025-10-25,1394
APT,2022-10-19,2022-10-28,10
ARB,2023-03-23,2023-10-28,220
ARKM,2024-04-02,2024-10-27,209
ATH,2025-03-13,2025-10-25,227
ATOM,2020-01-14,2020-10-27,288
AUDIO,2023-01-26,2023-10-28,276
AVAX,2021-09-30,2021-10-28,29
AVNT,2025-09-09,2025-10-25,47
AWE,2025-09-04,2025-10-25,52
AXL,2023-02-07,2023-10-28,264
AXS,2021-08-12,2021-10-28,78
BAL,2020-10-06,2020-10-27,22
BAND,2020-08-11,2020-10-27,78
BAT,2021-04-20,2021-10-28,192
BCH,2020-01-01,2025-10-25,2125
BERA,2025-02-06,2025-10-25,262
BICO,2022-01-01,2025-10-25,1394
BIO,2025-07-31,2025-10-25,87
BLAST,2024-06-26,2024-10-27,124
BLUR,2023-02-14,2023-10-28,257
BLZ,2022-01-01,2025-10-25,1394
BNB,2025-10-22,2025-10-25,4
BNT,2021-01-01,2025-10-25,1759
BONK,2024-01-01,2025-10-25,664
BTC,2020-01-01,2025-10-25,2125
BTRST,2021-09-15,2021-10-28,44
C98,2022-06-07,2022-10-28,144
CAKE,2025-06-12,2025-10-25,136
CELO,2020-09-01,2020-10-27,57
CELR,2022-08-16,2022-10-28,74
CFG,2025-09-25,2025-10-25,31
CHZ,2021-06-17,2021-10-28,134
COMP,2020-06-23,2020-10-27,127
COTI,2021-08-26,2021-10-28,64
CRO,2022-01-01,2025-10-25,1394
CRV,2021-03-25,2021-10-28,218
CTSI,2021-05-06,2021-10-28,176
CVC,2022-01-01,2025-10-25,1394
CVX,2022-09-08,2022-10-28,51
DAI,2020-04-30,2020-10-27,181
DASH,2020-01-01,2025-10-25,2125
DIA,2022-01-25,2022-10-28,277
DOGE,2021-06-03,2021-10-28,148
DOT,2021-06-16,2021-10-28,135
DRIFT,2024-05-17,2024-10-27,164
EGLD,2023-01-01,2025-10-25,1029
EIGEN,2024-10-01,2024-10-27,27
ELA,2022-06-22,2022-10-28,129
ENA,2025-06-05,2025-10-25,143
ENS,2022-01-01,2025-10-25,1394
EOS,2020-01-01,2025-10-25,2125
ETC,2020-01-01,2025-10-25,2125
ETH,2020-01-01,2025-10-25,2125
ETHFI,2025-02-06,2025-10-25,262
EURC,2024-08-23,2024-10-27,66
FARTCOIN,2025-06-12,2025-10-25,136
FET,2021-07-27,2021-10-28,94
FIL,2021-01-01,2025-10-25,1759
FLOKI,2024-12-30,2025-10-25,300
FLOW,2022-05-19,2022-10-28,163
FLR,2023-04-14,2023-10-28,198
G,2024-08-13,2024-10-27,76
GIGA,2024-12-30,2025-10-25,300
GLM,2022-03-09,2022-10-28,234
GMT,2022-04-28,2022-10-28,184
GNO,2022-07-21,2022-10-28,100
GRT,2021-01-01,2025-10-25,1759
GTC,2021-06-10,2021-10-28,141
HBAR,2022-10-13,2022-10-28,16
HIGH,2022-03-08,2022-10-28,235
HNT,2023-07-12,2023-10-28,109
ICP,2021-05-10,2021-10-28,172
ILV,2022-10-13,2022-10-28,16
IMX,2022-01-01,2025-10-25,1394
INJ,2022-09-20,2022-10-28,39
IO,2024-10-09,2024-10-27,19
IOTX,2021-08-12,2021-10-28,78
IP,2025-02-13,2025-10-25,255
JASMY,2021-10-07,2021-10-28,22
JTO,2024-01-01,2025-10-25,664
KAITO,2025-02-20,2025-10-25,248
KAVA,2023-01-19,2023-10-28,283
KNC,2020-02-25,2020-10-27,246
KSM,2022-06-02,2022-10-28,149
LA,2025-06-04,2025-10-25,144
LAYER,2025-09-11,2025-10-25,45
LCX,2022-01-01,2025-10-25,1394
LDO,2023-01-01,2025-10-25,1029
LINEA,2025-10-09,2025-10-25,17
LINK,2020-01-01,2025-10-25,2125
LPT,2021-06-24,2021-10-28,127
LQTY,2022-01-13,2022-10-28,289
LRC,2020-09-15,2020-10-27,43
LTC,2020-01-01,2025-10-25,2125
MAGIC,2023-01-01,2025-10-25,1029
MANA,2021-04-20,2021-10-28,192
MASK,2021-07-15,2021-10-28,106
MATIC,2021-03-11,2021-10-28,232
ME,2024-12-30,2025-10-25,300
METIS,2022-06-28,2022-10-28,123
MINA,2022-04-06,2022-10-28,206
MKR,2020-06-09,2020-10-27,141
MLN,2021-06-10,2021-10-28,141
MOG,2024-12-30,2025-10-25,300
MOODENG,2024-12-30,2025-10-25,300
MORPHO,2025-02-27,2025-10-25,241
NEAR,2022-09-01,2022-10-28,58
NKN,2021-04-09,2021-10-28,203
NMR,2020-08-18,2020-10-27,71
OCEAN,2022-09-08,2022-10-28,51
OGN,2021-04-09,2021-10-28,203
ONDO,2024-01-22,2024-10-27,280
OP,2022-06-01,2022-10-28,150
OSMO,2023-05-25,2023-10-28,157
OXT,2020-01-01,2025-10-25,2125
PAX,2021-07-27,2021-10-28,94
PAXG,2025-05-08,2025-10-25,171
PENDLE,2025-03-27,2025-10-25,213
PENGU,2025-02-13,2025-10-25,255
PEPE,2024-12-30,2025-10-25,300
PERP,2021-10-19,2021-10-28,10
PNUT,2025-01-14,2025-10-25,285
POL,2024-09-04,2024-10-27,54
POLS,2022-01-01,2025-10-25,1394
POPCAT,2025-02-13,2025-10-25,255
POWR,2022-01-01,2025-10-25,1394
PRIME,2023-03-01,2023-10-28,242
PUMP,2025-07-15,2025-10-25,103
PUNDIX,2022-09-20,2022-10-28,39
PYR,2023-01-01,2025-10-25,1029
PYTH,2025-02-20,2025-10-25,248
QNT,2021-06-24,2021-10-28,127
RAD,2021-09-01,2021-10-28,58
RENDER,2024-02-15,2024-10-27,256
REQ,2021-08-12,2021-10-28,78
RLC,2021-05-06,2021-10-28,176
RNDR,2022-02-03,2022-10-28,268
ROSE,2022-04-26,2022-10-28,186
RPL,2023-01-01,2025-10-25,1029
RSR,2025-04-22,2025-10-25,187
S,2025-06-24,2025-10-25,124
SAFE,2024-04-23,2024-10-27,188
SAND,2022-05-26,2022-10-28,156
SEI,2023-08-15,2023-10-28,75
SHIB,2021-09-09,2021-10-28,50
SKL,2021-03-11,2021-10-28,232
SKY,2025-07-10,2025-10-25,108
SNX,2021-01-01,2025-10-25,1759
SOL,2021-06-17,2021-10-28,134
SPX,2025-09-09,2025-10-25,47
STG,2022-08-04,2022-10-28,86
STORJ,2021-03-25,2021-10-28,218
STRK,2024-02-21,2024-10-27,250
STX,2022-01-20,2022-10-28,282
SUI,2023-05-18,2023-10-28,164
SUPER,2022-01-01,2025-10-25,1394
SUSHI,2021-03-11,2021-10-28,232
SYRUP,2025-03-13,2025-10-25,227
T,2023-01-26,2023-10-28,276
TAO,2025-02-20,2025-10-25,248
TIA,2024-01-01,2025-10-25,664
TOSHI,2025-01-23,2025-10-25,276
TRAC,2022-01-01,2025-10-25,1394
TRB,2021-05-06,2021-10-28,176
TRUMP,2025-01-21,2025-10-25,278
TURBO,2024-12-30,2025-10-25,300
UMA,2020-09-08,2020-10-27,50
UNI,2020-09-17,2020-10-27,41
USD1,2025-08-21,2025-10-25,66
USDT,2021-05-04,2021-10-28,178
USELESS,2025-08-20,2025-10-25,67
VELO,2024-02-06,2024-10-27,265
VET,2023-09-13,2023-10-28,46
VTHO,2023-09-13,2023-10-28,46
W,2025-07-02,2025-10-25,116
WIF,2024-12-30,2025-10-25,300
WLD,2025-04-30,2025-10-25,179
WLFI,2025-09-01,2025-10-25,55
XAN,2025-09-29,2025-10-25,27
XCN,2022-06-28,2022-10-28,123
XLM,2020-01-01,2025-10-25,2125
XRP,2020-01-01,2021-01-19,385
XTZ,2020-01-01,2025-10-25,2125
XYO,2021-09-09,2021-10-28,50
YFI,2020-09-15,2020-10-27,43
ZEC,2021-01-01,2025-10-25,1759
ZEN,2021-09-16,2021-10-28,43
ZETA,2024-02-01,2024-10-27,270
ZK,2024-09-25,2024-10-27,33
ZORA,2025-04-24,2025-10-25,185
ZRO,2024-06-20,2024-10-27,130
ZRX,2020-01-01,2025-10-25,2125
