symbol,id,name,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,price_change_percentage_24h,timestamp
BTC,bitcoin,Bitcoin,109560.0,2185877651184.0,2185878418402,38564617354,19943668.0,19943675.0,21000000.0,-0.30638,2025-11-03T02:05:14.262540
BNB,binancecoin,BNB,1070.91,147651291109.0,147651291109,1089459812,137737806.1,137737806.1,200000000.0,-1.59009,2025-11-03T02:05:14.262540
DOGE,dogecoin,Dogecoin,0.182922,27732888812.0,27736930078,1002843246,151591006383.7052,151613096383.7052,,-1.69615,2025-11-03T02:05:14.262540
ADA,cardano,Cardano,0.597084,21852290770.0,26881504226,778594458,36581028961.5495,45000000000.0,45000000000.0,-1.9046,2025-11-03T02:05:14.262540
BCH,bitcoin-cash,Bitcoin Cash,533.02,10638072596.0,10638085928,297924843,19947709.27165078,19947734.27165078,21000000.0,-3.53541,2025-11-03T02:05:14.262540
AVAX,avalanche-2,Avalanche,18.27,7807808980.0,8417715002,289634923,426754954.1172679,460090863.9963745,720000000.0,-2.12482,2025-11-03T02:05:14.262540
CRO,crypto-com-chain,Cronos,0.143535,5185879289.0,14098860756,18367848,36093107015.51594,98126404744.48007,100000000000.0,-1.75742,2025-11-03T02:05:14.262540
DAI,dai,Dai,1.0,4655584411.0,4655584411,93406332,4654280797.570544,4654280797.570544,,5e-05,2025-11-03T02:05:14.262540
DOT,polkadot,Polkadot,2.9,4427584128.0,4427584128,205125246,1522267060.0,1522267060.0,,-1.701,2025-11-03T02:05:14.262540
AAVE,aave,Aave,225.85,3450963554.0,3617850130,330883448,15261941.45145595,16000000.0,16000000.0,1.39527,2025-11-03T02:05:14.262540
APT,aptos,Aptos,3.28,2363661169.0,3883724317,275927725,719717085.0032405,1182564904.629303,,-0.79714,2025-11-03T02:05:14.262540
ARB,arbitrum,Arbitrum,0.298047,1644557753.0,2984845213,137402629,5509691911.0,10000000000.0,10000000000.0,-2.3847,2025-11-03T02:05:14.262540
ALGO,algorand,Algorand,0.173895,1530854048.0,1530869607,45319322,8790285359.724953,8790374703.169708,10000000000.0,-2.18479,2025-11-03T02:05:14.262540
ATOM,cosmos,Cosmos Hub,2.96,1411893113.0,1411893113,61917762,476224011.63904,476224011.63904,,-1.36487,2025-11-03T02:05:14.262540
DASH,dash,Dash,93.9,1170421393.0,1170542239,1033892176,12469685.85276813,12470973.34479781,18920000.0,32.3237,2025-11-03T02:05:14.262540
BONK,bonk,Bonk,1.38e-05,1069064307.0,1215101233,114827023,77419592329436.58,87995307227078.66,87995307227078.66,-2.53741,2025-11-03T02:05:14.262540
AERO,aerodrome-finance,Aerodrome Finance,0.981523,885879272.0,1743231459,39852565,902699570.3645201,1776330407.327852,,-3.11253,2025-11-03T02:05:14.262540
CAKE,pancakeswap-token,PancakeSwap,2.44,832253256.0,867907317,89530419,341027996.388393,355637771.6427676,450000000.0,-2.85423,2025-11-03T02:05:14.262540
CRV,curve-dao-token,Curve DAO,0.462681,657131688.0,1073182091,95127655,1420223548.0,2319411016.65636,3030303031.0,-3.02245,2025-11-03T02:05:14.262540
ATH,aethir,Aethir,0.02816842,401678459.0,1185164256,30540334,14234731752.0,42000000000.0,42000000000.0,2.44788,2025-11-03T02:05:14.262540
APE,apecoin,ApeCoin,0.400642,364301215.0,400919267,20116499,908664773.0,1000000000.0,1000000000.0,-1.83257,2025-11-03T02:05:14.262540
COMP,compound-governance-token,Compound,34.89,336458332.0,349039539,17546495,9639547.802106522,10000000.0,10000000.0,-2.17783,2025-11-03T02:05:14.262540
CHZ,chiliz,Chiliz,0.03128399,315402103.0,315402103,18695522,10078645125.0,10078645125.0,,0.0171,2025-11-03T02:05:14.262540
BAT,basic-attention-token,Basic Attention,0.193097,288261102.0,289087515,54224471,1495711956.9526057,1500000000.0,1500000000.0,4.2261,2025-11-03T02:05:14.262540
AXS,axie-infinity,Axie Infinity,1.42,237827994.0,384722024,19669641,166908974.1147765,270000000.0,270000000.0,-1.20118,2025-11-03T02:05:14.262540
1INCH,1inch,1INCH,0.168435,235755816.0,252706726,12862970,1399383897.93392,1499999999.997,1499999999.997,0.3432,2025-11-03T02:05:14.262540
AIOZ,aioz-network,AIOZ Network,0.174834,211180962.0,212477371,4779645,1206725269.21869,1214133178.229003,,-2.06905,2025-11-03T02:05:14.262540
AMP,amp-token,Amp,0.0024655,207660118.0,245719909,5336811,84231346590.2867,99669205039.99,99669205039.99,-3.01182,2025-11-03T02:05:14.262540
AKT,akash-network,Akash Network,0.672968,190885189.0,191119208,6334869,281153492.73707,281498178.131369,388539008.0,-5.8684,2025-11-03T02:05:14.262540
