Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,snapshot_date
1,Bitcoin,BTC,895688387523.1361,47345.22056425,18918243.0,27951569547.04,0.120574497795,-0.7163216288,-6.818200188995,20220102
2,Ethereum,ETH,455713570380.8481,3829.56504454,118998780.5615,9881471547.68,0.129233207431,1.58814169579,-5.845681648009,20220102
3,Binance Coin,BNB,88637570485.45753,531.39664534,166801148.0,1462276184.94,0.051958155183,0.766834616333,-2.85164003499,20220102
4,Tether,USDT,78373882136.13979,1.00045954,78337882506.71762,43202922802.33,0.017293812837,-0.004052084241,0.00108108186,20220102
5,Solana,SOL,54552495291.76871,176.38284132,309284593.01375335,995389409.2,-0.224940623887,-1.196013821606,-10.918084434119,20220102
6,Cardano,ADA,46129061735.766396,1.37758355,33485491061.763,881893010.44,0.421437120158,0.044189008086,-5.388668565171,20220102
7,USD Coin,USDC,42562534941.23163,0.99976488,42572544666.16182,2491554184.76,-0.002316388206,-0.032038343545,0.06575627522,20220102
8,XRP,XRP,40838984413.81497,0.85911761,47535964473.0,1134033205.41,0.275262575584,1.135538217563,-6.737291417801,20220102
9,Terra,LUNA,32335168164.915684,89.37167052,361805569.6517165,1332237742.44,-0.663212635603,-2.176997037248,-10.377672791388,20220102
10,Polkadot,DOT,29361884232.15381,29.73116568,987579314.957085,1217867246.33,-1.036426639184,4.014837151655,-5.111795629559,20220102
11,Avalanche,AVAX,27588210907.87485,113.18633585,243741532.0590604,777052324.48,-0.323834381394,-0.851165913252,-1.760615254855,20220102
12,Dogecoin,DOGE,23138181422.901604,0.17440302,132670764299.89409,391041932.67,0.052302713795,0.790383104243,-8.218494139423,20220102
13,Shiba Inu,SHIB,18692252748.29419,3.404e-05,549063278876301.94,574109133.67,0.148853983848,-0.268303260463,-11.142723073765,20220102
14,Polygon,MATIC,18259576689.345592,2.54919042,7162892403.27,944553719.06,0.686031628563,-0.994281108122,-11.386652371816,20220102
15,Crypto.com Coin,CRO,14847022636.659174,0.587698,25263013692.0,177501913.29,0.354115640906,0.409181692892,-6.101980990394,20220102
16,Binance USD,BUSD,14625354832.863089,0.99946409,14633196847.5,2793373260.86,0.014950157169,-0.105193429654,-0.047564692575,20220102
17,Wrapped Bitcoin,WBTC,12221555860.496592,47344.50827916,258140.93977772,222843830.46,0.101279574716,-0.492628569296,-6.625127468273,20220102
18,Uniswap,UNI,11522501073.316038,18.36928104,627270117.4335546,228978076.98,0.841254912302,5.301296484209,-1.705351641328,20220102
19,Algorand,ALGO,10669967912.89091,1.67404097,6373779455.992235,328237594.46,0.315278336522,-3.796713376935,4.072273316355,20220102
20,Litecoin,LTC,10486459759.565533,151.25549943,69329444.5409928,680239630.59,0.043806174199,0.370320406433,-3.036583375643,20220102
21,Chainlink,LINK,10195701248.517118,21.83189024,467009550.4397637,991669491.07,0.188303951907,5.646248516897,-5.118806255236,20220102
22,TerraUSD,UST,10138860625.010391,1.00099601,10128772241.78513,105343504.02,-0.016738390768,0.023887599973,-0.109200477105,20220102
23,Dai,DAI,9338000280.239693,1.00042224,9334059039.12918,307504088.0,0.003034182394,0.056327214099,-0.033782177206,20220102
24,NEAR Protocol,NEAR,8672087026.240496,14.41052129,601788572.0,410369752.39,-0.063835085785,-5.003733348197,-11.449459133771,20220102
25,Bitcoin Cash,BCH,8484083046.984257,447.83264224,18944762.5,5266233005.85,0.16248918812,0.759681855415,-0.970420470672,20220102
26,Cosmos,ATOM,8054427941.216951,35.60345388,226226027.647699,1034179139.65,0.438096822496,-1.567602040808,10.555758584043,20220102
27,TRON,TRX,7922357701.954362,0.07778155,101853941387.10966,1361260677.62,0.088908712695,1.529054696889,-4.650963340627,20220102
28,Stellar,XLM,7216429668.542691,0.29170252,24739003477.602264,322943755.34,0.221535629837,5.561050508634,0.079895969386,20220102
29,Fantom,FTM,6322275064.765691,2.4841884,2545006273.0,707034818.95,-0.130550958451,-3.824635062566,6.027646666345,20220102
30,Decentraland,MANA,6093730774.267716,3.33987288,1824539734.8740842,327806774.3,0.149138271737,-0.165184197998,-13.569265510985,20220102
31,Axie Infinity,AXS,5878248214.723127,96.51107359,60907500.0,169025981.89,0.53272280624,2.625003960024,-10.278690502517,20220102
32,Hedera,HBAR,5647710454.436393,0.3121525,18092792421.137627,115099604.91,-0.638247174152,3.743205970602,-2.139649430642,20220102
33,VeChain,VET,5602487249.73674,0.08710934,64315576989.0,210852538.2,0.013717670115,0.451070516335,-7.845522018379,20220102
34,FTX Token,FTT,5582232198.713801,40.18291835,138920527.11874375,107738879.4,-0.128322493778,-0.053048151155,-5.66061703976,20220102
35,The Sandbox,SAND,5453462636.008541,5.93091093,919498319.2233225,695851906.55,0.67535468412,-0.697980290737,-11.858276970474,20220102
36,Internet Computer,ICP,5210070133.987957,27.28641193,190940096.75,414983676.25,-0.541556438328,6.466442104177,2.090781945399,20220102
37,Filecoin,FIL,5169939028.756646,35.79261966,144441482.0,299929459.14,-0.33285960845,-0.173668775213,-4.018063240446,20220102
38,Bitcoin BEP2,BTCB,4978016719.041314,47355.564253,105119.99587728,30560446.99,0.410669075266,-0.372462605245,-6.818308765002,20220102
39,Theta Network,THETA,4885482520.688171,4.88548252,1000000000.0,120684887.71,-0.072582423692,-1.232615918142,-11.27849803543,20220102
40,Elrond,EGLD,4786430564.750181,239.77165267,19962453.90756623,83454085.51,-0.313205767306,-2.060158040616,-7.463997350463,20220102
41,Ethereum Classic,ETC,4673464466.153948,35.3963959,132032212.54413693,317124379.94,-0.11666435587,1.512776660615,-6.787228840738,20220102
42,Helium,HNT,4336164853.017481,41.15592531,105359430.5203479,34225288.5,-0.893284234601,3.704457861857,9.653808369145,20220102
43,Monero,XMR,4322225608.267216,239.37170261,18056543.69796815,205086716.15,-0.143379774001,-4.33021823697,10.254365859124,20220102
44,Tezos,XTZ,4074322531.060932,4.66766821,872881779.759136,125775183.84,0.425696591245,-1.535682474688,-3.878181957556,20220102
45,IOTA,MIOTA,3830791977.4464893,1.37821559,2779530283.0,42997961.92,-0.118534843293,-2.386745915355,-0.874904195422,20220102
46,UNUS SED LEO,LEO,3605391327.016618,3.77941791,953954130.0,3780647.93,-0.111492323097,-0.634718691301,8.287374735122,20220102
47,Aave,AAVE,3582210859.2741356,266.02618188,13465632.72070116,322358186.12,-0.113857496671,0.198245974534,-0.886876262785,20220102
48,Klaytn,KLAY,3554964899.886381,1.38942033,2558595716.2,39007680.03,0.317364295408,2.988441262943,2.284559114461,20220102
49,Harmony,ONE,3377157181.791914,0.29180546,11573317395.10067,332568825.04,0.633745674553,9.053686966326,9.772609566653,20220102
50,The Graph,GRT,3190739450.3534613,0.67661548,4715735200.0,95214892.71,-0.045791686075,1.837408955728,-8.060483619947,20220102
51,Gala,GALA,3188457167.0227933,0.45698198,6977205436.0,311869307.62,0.241947905685,-1.179266561035,-10.649112659297,20220102
52,EOS,EOS,3177838348.1844816,3.25328887,976807925.5065,414856879.71,-0.019698272619,3.755027647539,-4.263173194122,20220102
53,PancakeSwap,CAKE,3108880614.4839077,12.33472063,252043050.495,143086635.33,-0.028393926863,2.503199065583,-3.88813395686,20220102
54,Stacks,STX,3088842865.1138716,2.39126715,1291718021.261967,114675175.41,0.873752908142,4.737519643321,1.324662152636,20220102
55,Flow,FLOW,2941390831.828088,9.28365042,316835587.0,58553807.93,0.267433057542,1.262338694079,0.2560475837,20220102
56,BitTorrent,BTT,2787901888.673197,0.00281606,990000000000.0,349562025.84,0.067112171643,2.115494278413,-0.298414473844,20220102
57,Loopring,LRC,2785510223.2808595,2.09639232,1328716100.1723177,119617230.32,0.687927646193,0.587991561054,-10.852187937375,20220102
58,Curve DAO Token,CRV,2604809677.006566,6.03082536,431915952.3048161,865727990.41,-0.118695029355,-2.9192993115,5.185664707433,20220102
59,Kusama,KSM,2505308966.3109727,295.78275828,8470098.05726206,61861809.79,0.346684704128,2.495879539703,-8.545198280747,20220102
60,Maker,MKR,2438559824.0339017,2472.18460387,986398.75849898,6643830501.93,-0.475636785029,1.865801617401,-7.901370732668,20220102
61,Enjin Coin,ENJ,2421121386.8886414,2.85936241,846734704.567558,314990089.41,-0.595408077456,6.348761116683,-10.271227077114,20220102
62,Bitcoin SV,BSV,2352796204.102855,124.21807891,18940851.64423905,99589700.7,0.071174104089,1.202690631598,-2.88766274449,20220102
63,Quant,QNT,2261376211.5898237,187.31262217,12072738.0,33505455.52,0.242263581029,4.548276776393,-3.507091534847,20220102
64,eCash,XEC,2147618573.8041472,0.00011339,18940810923313.0,43700799.33,0.070566275278,2.636695419859,-6.726573852085,20220102
65,Amp,AMP,2070977495.6279988,0.0490431,42227702186.0,14065041.45,-0.084381706142,-1.047679565812,-3.717539832713,20220102
66,Zcash,ZEC,2060849503.74414,153.35434603,13438481.25,206370178.75,-0.127468333943,2.26938881274,-8.475147719776,20220102
67,Kadena,KDA,2032060131.1571648,12.2185398,166309572.5643,37547772.06,2.343960812366,-4.584980336375,-20.429371720467,20220102
68,Arweave,AR,2007281975.964201,60.10779902,33394701.0,36133613.23,0.062202513694,-9.015077973604,-2.558390033554,20220102
69,Celo,CELO,1972856409.4851842,5.09635537,387111233.0,64244649.94,-0.299614072785,-0.18947997801,-0.37535162552,20220102
70,Basic Attention Token,BAT,1941197499.96813,1.29944639,1493865018.4473505,288198899.52,0.093738353191,3.520402943421,-2.786748810533,20220102
71,THORChain,RUNE,1907876320.435844,7.38884912,258210215.1421133,42658888.16,0.128682027158,0.223387983089,-5.051227029864,20220102
72,Neo,NEO,1906210941.8720522,27.02356865,70538831.0,101596526.75,0.178630082464,2.641781121611,-8.568948132477,20220102
73,Chiliz,CHZ,1852788895.6347582,0.31113578,5954920747.354118,219090840.37,0.386662804167,5.759635879734,-5.818961486186,20220102
74,KuCoin Token,KCS,1814633752.4510522,22.64933351,80118638.0,10656498.58,0.191464194764,1.132196567963,-1.105291294049,20220102
75,OKB,OKB,1755295767.2286572,29.25492945,60000000.0,177563778.24,0.118237845967,0.100637789016,-5.52331658144,20220102
76,Waves,WAVES,1649942580.380224,15.40251592,107121628.0,81563810.59,-0.410450112965,2.2391203066,-4.91865494898,20220102
77,Dash,DASH,1493229213.730549,142.06263296,10511062.49845345,165015794.87,-0.312680670626,2.978310575984,-4.936766275845,20220102
78,Huobi Token,HT,1483018302.1359746,9.40263567,157723680.25441208,63934956.84,0.025868355884,-0.411797755262,-5.252576770809,20220102
79,Nexo,NEXO,1444631436.4283695,2.57969894,560000011.0,11133621.55,0.873438019885,-2.037400873746,6.030376446188,20220102
80,Oasis Network,ROSE,1452500495.9648013,0.4158301,3493014306.28,172826155.67,0.769293053269,-6.825319680268,12.897248127585,20220102
81,yearn.finance,YFI,1433237672.169236,39119.18165797,36637.72122588,523764816.83,0.509426792978,7.425166259868,25.567752401233,20220102
82,Compound,COMP,1329212639.8779883,210.64665737,6310153.01384265,85165943.75,-0.479942364614,0.178476122045,-10.222683588973,20220102
83,TrueUSD,TUSD,1298549371.3756719,1.00146813,1296645725.4027455,95532731.35,0.004814618576,0.236271505403,0.159962030528,20220102
84,Holo,HOT,1293411627.3542924,0.00747146,173113683516.86862,79535196.3,0.308555662558,0.384399401833,-13.948992811226,20220102
85,Mina,MINA,1276520620.8828335,3.7699311,338605822.84003925,31932679.42,1.141024101813,1.132375909184,-1.106176097636,20220102
86,XDC Network,XDC,1246464367.2563,0.10129728,12305012698.75,11061586.99,1.26542909605,-4.663866425492,23.655922452441,20220102
87,IoTeX,IOTX,1203930237.1619062,0.12618783,9540779324.30788,29380390.1,-0.22341367321,-1.456186862791,-9.725964149682,20220102
88,NEM,XEM,1175536578.8558095,0.13061518,8999999999.0,23224886.47,-0.040670932932,3.435158474106,-7.351218832477,20220102
89,SushiSwap,SUSHI,1140708883.448128,8.96470491,127244443.0,324862232.47,-0.552646752877,-1.836333746377,13.032355188038,20220102
90,Theta Fuel,TFUEL,1087766255.2400968,0.2051919,5301214400.0,28903152.81,0.624198755332,3.585213492418,-11.114609045365,20220102
91,1inch Network,1INCH,1079803220.5261326,2.55500696,422622419.02860487,83153553.96,-0.411709652382,0.978891137685,-7.500406177225,20220102
92,Ravencoin,RVN,1065451999.7094475,0.10207429,10438005000.0,51516625.7,-0.295178946074,-4.60901220011,3.939929342352,20220102
93,Celsius,CEL,1014714078.1472545,4.24809146,238863519.826,2662253.48,0.029956433995,0.290707457046,10.010681312013,20220102
94,Decred,DCR,1005810393.6992904,73.72929163,13641937.57184837,3128465.13,0.408422388393,-1.563482881175,-7.895797069967,20220102
95,Gnosis,GNO,969143274.0308416,519.64034517,1865027.0,7326048.85,0.280500646942,-1.858072389542,9.812898463093,20220102
96,Revain,REV,951830426.8613354,0.01118991,85061485689.83401,3380177.96,2.667324291975,17.729658697597,9.533079488503,20220102
97,Pax Dollar,USDP,945933893.3045834,1.00030768,945642940.11,4095462.57,0.004574990649,0.042924481751,0.02535299874,20220102
98,Zilliqa,ZIL,938004432.5970169,0.07679385,12214577068.982485,68182908.65,0.49181066874,0.627497140156,0.143592106934,20220102
99,Ankr,ANKR,939061061.6586682,0.11504014,8162899377.791667,134455430.88,2.25780164713,11.311831068229,1.495188143792,20220102
