Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,snapshot_date
1,Bitcoin,BTC,1706096101737.8965,86031.91239772,19830968.0,29190628396.31,-0.04065501,1.96615252,-10.91954191,20250301
2,Ethereum,ETH,267289658372.03,2216.64332815,120583070.3466749,16135258238.92,0.0943605,-0.95008105,-19.80391378,20250301
3,Tether USDt,USDT,142114295570.61606,0.99944938,142192589364.19644,62938723492.11,-0.01478722,-0.0079321,-0.07689888,20250301
4,XRP,XRP,126944842511.31401,2.19060251,57949738512.0,3300928949.01,-0.13576742,2.09765986,-14.95138836,20250301
5,BNB,BNB,86555825799.70758,607.51154856,142476017.13,1694454520.96,0.17048961,3.41474562,-9.13333917,20250301
6,Solana,SOL,72865904089.34573,143.67570207,507155371.72451276,3305410077.34,0.63834202,-2.94150886,-16.54663039,20250301
7,USDC,USDC,56349102934.68904,0.99978113,56361438510.42018,5501083056.13,-0.015925,-0.00970803,-0.03523168,20250301
8,Dogecoin,DOGE,30619829790.24797,0.20653722,148253326383.7052,1197948865.86,-0.18735998,2.26512394,-16.28797867,20250301
9,Cardano,ADA,23214328989.496376,0.6592653,35212423444.401985,585631596.95,-1.49416359,4.14096304,-14.87327133,20250301
10,TRON,TRX,20121851928.909378,0.23379701,86065478668.03001,471587739.98,0.03483922,0.25537765,-1.91567144,20250301
11,Hedera,HBAR,10606505870.172373,0.25308775,41908413178.62078,1114894790.11,-1.20449846,19.03023858,16.88793396,20250301
12,Stellar,XLM,9569023412.269398,0.3118532,30684384536.741512,315740077.6,-1.56342091,8.90322684,-6.79590878,20250301
13,Chainlink,LINK,9436736711.393337,14.78880606,638099970.4527867,315668142.39,-1.12559786,-0.18817907,-16.74982773,20250301
14,Litecoin,LTC,9389646475.635727,124.26994202,75558468.3040892,805254660.55,-0.6773297,-2.88526191,-1.41940111,20250301
15,Avalanche,AVAX,9056583140.11344,21.87114048,414088288.9207487,266943721.61,-0.24154949,-2.22476581,-15.28230453,20250301
16,UNUS SED LEO,LEO,9032618454.858097,9.77524667,924029720.9,1879125.45,-0.00583951,5.14356329,0.71617073,20250301
17,Sui,SUI,8937870518.725937,2.81965534,3169845047.4838877,633935690.56,-0.78668955,-0.41427293,-17.65811662,20250301
18,Toncoin,TON,8296382828.119388,3.32424596,2495718704.6638565,138173759.37,-0.08251816,-0.1093427,-11.1690591,20250301
19,Shiba Inu,SHIB,8035765217.775478,1.364e-05,589253608606709.9,161233780.76,-0.30253631,-2.17254702,-12.68256431,20250301
20,MANTRA,OM,7397418442.27148,7.59187979,974385612.9299996,77158032.93,0.43682363,0.74702535,-7.56982183,20250301
21,Polkadot,DOT,7243605863.831742,4.66250005,1553588371.5299215,173379363.28,-0.37346747,-1.07087493,-7.57578862,20250301
22,Hyperliquid,HYPE,6550079758.040479,19.6152351,333928180.0,112751524.58,0.47328505,-2.0227312,-21.00027916,20250301
23,Bitcoin Cash,BCH,6173586427.039635,311.22759454,19836243.75,269438185.02,-0.44827711,-1.46826168,-3.04256186,20250301
24,Ethena USDe,USDe,5457267305.254508,0.9988316,5463651055.355174,73206942.93,-0.02489317,0.03681452,-0.06095323,20250301
25,Dai,DAI,5364965544.69512,0.99992225,5365382702.664872,135498158.28,-0.00586745,0.00804777,-0.03123126,20250301
26,Bitget Token,BGB,4870941923.778827,4.05911827,1200000000.0,287058435.12,-0.15896412,1.01814822,-17.79813382,20250301
27,Uniswap,UNI,4498166220.033826,7.49047645,600518037.71,129162395.81,-0.61842943,-0.13418824,-17.16180042,20250301
28,Monero,XMR,4121196076.923911,223.41048699,18446744.07370955,63201578.27,0.36548299,2.86615675,-4.83383731,20250301
29,NEAR Protocol,NEAR,3882347707.741256,3.26801154,1187984699.0,187507212.84,-0.86798696,6.59790654,-5.82237162,20250301
30,Aptos,APT,3719384438.0198746,6.31315718,589148080.6176382,206783595.74,-0.70479335,-2.31451423,4.69834404,20250301
31,Ondo,ONDO,3235083859.90727,1.02404994,3159107529.0,141161167.58,-0.38932501,3.42806113,-11.67177346,20250301
32,Pepe,PEPE,3193096744.2793827,7.59e-06,420689899653543.56,492640704.76,-0.03367316,-4.11444157,-21.17708424,20250301
33,Internet Computer,ICP,3167025900.184977,6.57933613,481359492.3792495,61151911.71,-0.68614934,1.01411557,-8.54156821,20250301
34,Aave,AAVE,2939043212.7610545,194.85800001,15082999.99296258,202793387.58,-0.43094622,1.18503742,-21.15079889,20250301
35,Ethereum Classic,ETC,2875462650.450207,19.04915229,150949638.43597066,120799690.53,-0.22363604,-2.59343597,-7.01454406,20250301
36,Bittensor,TAO,2829624964.9277797,336.3767335,8412071.0,103659140.99,-0.29896594,3.10778042,-22.36635266,20250301
