symbol,name,cmc_rank,market_cap,price,volume_24h,percent_change_24h,percent_change_7d,market_cap_dominance,timestamp,trading_symbol
BTC,Bitcoin,1,2054033564647.7085,102980.54956059552,91159703699.50255,1.81631599,-6.20018034,59.1379,2025-11-08T01:49:13.016546,BTC/USDC:USDC
ETH,Ethereum,2,414686652997.7142,3435.7712519367774,42406329345.7495,4.0899473,-10.64460971,11.9393,2025-11-08T01:49:13.016556,ETH/USDC:USDC
USDT,Tether USDt,3,183297436442.26016,0.9991794362426105,169163288455.29944,-0.04726265,-0.04449182,5.2773,2025-11-08T01:49:13.016559,USDT/USDC:USDC
XRP,XRP,4,138792959501.83795,2.309090446130812,5958025142.343988,4.93244978,-7.65178822,3.996,2025-11-08T01:49:13.016561,XRP/USDC:USDC
BNB,BNB,5,136425914318.24004,990.4782246500625,3605476357.562552,4.45076854,-8.97665984,3.9279,2025-11-08T01:49:13.016562,BNB/USDC:USDC
SOL,Solana,6,89455815704.62207,161.62743529947323,6423634272.637411,4.13662307,-13.38077892,2.5755,2025-11-08T01:49:13.016564,SOL/USDC:USDC
USDC,USDC,7,75754087074.7634,0.9997296358563258,20956879166.200382,-0.02208673,-0.01267324,2.1808,2025-11-08T01:49:13.016565,USDC/USDC:USDC
TRX,TRON,8,27730417875.088947,0.29292833810498464,919377782.048586,3.24189862,-0.94459003,0.7983,2025-11-08T01:49:13.016566,TRX/USDC:USDC
DOGE,Dogecoin,9,27358866657.198338,0.18037095924121926,3015257742.1841598,11.51296772,-3.10993899,0.7877,2025-11-08T01:49:13.016567,DOGE/USDC:USDC
ADA,Cardano,10,20902090977.939056,0.5827782739035149,1289722164.440838,9.70002654,-4.19666889,0.6017,2025-11-08T01:49:13.016569,ADA/USDC:USDC
HYPE,Hyperliquid,11,14329738731.684057,42.56123501425246,651280625.7533816,10.70858472,-2.02669958,0.4126,2025-11-08T01:49:13.016570,HYPE/USDC:USDC
LINK,Chainlink,12,11004549178.66749,15.791848525903374,1058089965.1310418,7.83429889,-8.14409762,0.3168,2025-11-08T01:49:13.016571,LINK/USDC:USDC
ZEC,Zcash,13,10535260285.956245,646.8811086825336,4317593259.04281,18.05574704,58.6773091,0.3033,2025-11-08T01:49:13.016572,ZEC/USDC:USDC
BCH,Bitcoin Cash,14,10212456777.641418,511.9029161116727,801828560.441209,8.05437373,-5.89949893,0.2943,2025-11-08T01:49:13.016573,BCH/USDC:USDC
XLM,Stellar,15,9376946961.194252,0.2921185101886677,338785494.91466355,8.47043849,-3.67141101,0.27,2025-11-08T01:49:13.016575,XLM/USDC:USDC
USDe,Ethena USDe,16,8616562541.795204,0.9986841951320128,461622383.6009505,-0.01679013,-0.02753051,0.2481,2025-11-08T01:49:13.016576,USDe/USDC:USDC
LEO,UNUS SED LEO,17,8462412548.579371,9.175401471139725,2711840.92432878,-1.10935344,-3.78426902,0.2436,2025-11-08T01:49:13.016577,LEO/USDC:USDC
SUI,Sui,18,7959773029.2582855,2.1622030086917094,1363995852.546732,10.32136042,-8.04338658,0.2292,2025-11-08T01:49:13.016580,SUI/USDC:USDC
