date,symbol,market_cap
2021-04-09,1INCH/USD,441572550.111
2021-04-10,1INCH/USD,413789345.046
2021-04-11,1INCH/USD,409820315.75100005
2021-04-12,1INCH/USD,396902929.5
2021-04-13,1INCH/USD,404840988.09000003
2021-04-14,1INCH/USD,424108821.213
2021-04-15,1INCH/USD,439768445.88600004
2021-04-16,1INCH/USD,420356284.425
2021-04-17,1INCH/USD,467695979.289
2021-04-18,1INCH/USD,383408229.89699996
2021-04-19,1INCH/USD,349635398.805
2021-04-20,1INCH/USD,362624949.225
2021-04-21,1INCH/USD,361975471.704
2021-04-22,1INCH/USD,331738684.893
2021-04-23,1INCH/USD,309295628.334
2021-04-24,1INCH/USD,285409288.395
2021-04-25,1INCH/USD,288656676.0
2021-04-26,1INCH/USD,327625327.26
2021-04-27,1INCH/USD,369480545.28000003
2021-04-28,1INCH/USD,402676063.02
2021-04-29,1INCH/USD,395243153.61300004
2021-04-30,1INCH/USD,407799719.019
2021-05-01,1INCH/USD,398707033.725
2021-05-02,1INCH/USD,387232930.854
2021-05-03,1INCH/USD,424253149.55099994
2021-05-04,1INCH/USD,378789723.081
2021-05-05,1INCH/USD,432479864.81700003
2021-05-06,1INCH/USD,477221649.597
2021-05-07,1INCH/USD,475417545.372
2021-05-08,1INCH/USD,541736416.683
2021-05-09,1INCH/USD,511210973.196
2021-05-10,1INCH/USD,445541579.406
2021-05-11,1INCH/USD,472386650.27400005
2021-05-12,1INCH/USD,404047182.231
2021-05-13,1INCH/USD,402603898.85099995
2021-05-14,1INCH/USD,414583150.90500003
2021-05-15,1INCH/USD,379367036.43299997
2021-05-16,1INCH/USD,370418679.477
2021-05-17,1INCH/USD,339676743.483
2021-05-18,1INCH/USD,380088678.123
2021-05-19,1INCH/USD,231863474.997
2021-05-20,1INCH/USD,260007500.907
2021-05-21,1INCH/USD,225152207.28
2021-05-22,1INCH/USD,195997883.004
2021-05-23,1INCH/USD,168503334.615
2021-05-24,1INCH/USD,212956462.719
2021-05-25,1INCH/USD,208626612.579
2021-05-26,1INCH/USD,247523099.67000002
2021-05-27,1INCH/USD,237131459.334
2021-05-28,1INCH/USD,199750419.792
2021-05-29,1INCH/USD,185389750.16099998
2021-05-30,1INCH/USD,208121463.396
2021-05-31,1INCH/USD,230997504.969
2021-06-01,1INCH/USD,225152207.28
2021-06-02,1INCH/USD,243409742.03700003
2021-06-03,1INCH/USD,252213770.655
2021-06-04,1INCH/USD,244492204.572
2021-06-05,1INCH/USD,266069291.103
2021-06-06,1INCH/USD,282234064.959
2021-06-07,1INCH/USD,245574667.107
2021-06-08,1INCH/USD,223708923.9
2021-06-09,1INCH/USD,230348027.448
2021-06-10,1INCH/USD,218729596.23900002
2021-06-11,1INCH/USD,197729823.06
2021-06-12,1INCH/USD,196936017.201
2021-06-13,1INCH/USD,217502805.366
2021-06-14,1INCH/USD,265636306.08900002
2021-06-15,1INCH/USD,270110484.567
2021-06-16,1INCH/USD,259430187.555
2021-06-17,1INCH/USD,246079816.29000002
2021-06-18,1INCH/USD,228471759.054
2021-06-19,1INCH/USD,217574969.535
2021-06-20,1INCH/USD,244997353.755
2021-06-21,1INCH/USD,192966987.906
2021-06-22,1INCH/USD,173338333.93800002
2021-06-23,1INCH/USD,188204152.752
2021-06-24,1INCH/USD,196575196.356
2021-06-25,1INCH/USD,169441468.81199998
2021-06-26,1INCH/USD,169585797.15
2021-06-27,1INCH/USD,180843407.514
2021-06-28,1INCH/USD,178606318.275
2021-06-29,1INCH/USD,183657810.105
2021-06-30,1INCH/USD,183080496.753
2021-07-01,1INCH/USD,170812588.023
2021-07-02,1INCH/USD,172977513.093
2021-07-03,1INCH/USD,179472288.303
2021-07-04,1INCH/USD,182647511.73900002
2021-07-05,1INCH/USD,179616616.641
2021-07-06,1INCH/USD,204801911.622
2021-07-07,1INCH/USD,198379300.581
2021-07-08,1INCH/USD,181276392.528
2021-07-09,1INCH/USD,185967063.513
2021-07-10,1INCH/USD,179760944.979
2021-07-11,1INCH/USD,181565049.204
2021-07-12,1INCH/USD,174492960.64200002
2021-07-13,1INCH/USD,167493036.249
2021-07-14,1INCH/USD,165472439.51700002
2021-07-15,1INCH/USD,155152963.35
2021-07-16,1INCH/USD,141730427.916
2021-07-17,1INCH/USD,145194308.028
2021-07-18,1INCH/USD,146204606.394
2021-07-19,1INCH/USD,128957370.00299999
2021-07-20,1INCH/USD,123184236.48300001
2021-07-21,1INCH/USD,132132593.439
2021-07-22,1INCH/USD,147575725.605
2021-07-23,1INCH/USD,152410724.928
2021-07-24,1INCH/USD,147647889.774
2021-07-25,1INCH/USD,147720053.94300002
2021-07-26,1INCH/USD,154431321.66
2021-07-27,1INCH/USD,160132291.01099998
2021-07-28,1INCH/USD,158039530.10999998
2021-07-29,1INCH/USD,162152887.743
2021-07-30,1INCH/USD,166410573.71400002
2021-07-31,1INCH/USD,171462065.544
2021-08-01,1INCH/USD,167348707.91099998
2021-08-02,1INCH/USD,166194081.207
2021-08-03,1INCH/USD,161070425.208
2021-08-04,1INCH/USD,169152812.13599998
2021-08-05,1INCH/USD,174709453.149
2021-08-06,1INCH/USD,181204228.359
2021-08-07,1INCH/USD,195348405.48299998
2021-08-08,1INCH/USD,179833109.148
2021-08-09,1INCH/USD,199100942.271
2021-08-10,1INCH/USD,201482359.848
2021-08-11,1INCH/USD,211657507.677
2021-08-12,1INCH/USD,202925643.228
2021-08-13,1INCH/USD,221904819.675
2021-08-14,1INCH/USD,220822357.14000002
2021-08-15,1INCH/USD,220100715.45
2021-08-16,1INCH/USD,218946088.746
2021-08-17,1INCH/USD,221688327.168
2021-08-18,1INCH/USD,224358401.421
2021-08-19,1INCH/USD,247306607.16300002
2021-08-20,1INCH/USD,248822054.71199998
2021-08-21,1INCH/USD,243048921.192
2021-08-22,1INCH/USD,244564368.741
2021-08-23,1INCH/USD,246079816.29000002
2021-08-24,1INCH/USD,220966685.478
2021-08-25,1INCH/USD,229698549.927
2021-08-26,1INCH/USD,210935865.987
2021-08-27,1INCH/USD,231791310.828
2021-08-28,1INCH/USD,237275787.672
2021-08-29,1INCH/USD,227533624.857
2021-08-30,1INCH/USD,217358477.028
2021-08-31,1INCH/USD,220605864.633
2021-09-01,1INCH/USD,240956160.291
2021-09-02,1INCH/USD,241749966.15
2021-09-03,1INCH/USD,258131232.513
2021-09-04,1INCH/USD,265491977.751
2021-09-05,1INCH/USD,276677423.946
2021-09-06,1INCH/USD,267656902.821
2021-09-07,1INCH/USD,211801836.01500002
2021-09-08,1INCH/USD,210502880.973
2021-09-09,1INCH/USD,218585267.901
2021-09-10,1INCH/USD,208121463.396
2021-09-11,1INCH/USD,209997731.79000002
2021-09-12,1INCH/USD,215698701.141
2021-09-13,1INCH/USD,204946239.95999998
2021-09-14,1INCH/USD,221904819.675
2021-09-15,1INCH/USD,237997429.362
2021-09-16,1INCH/USD,239945861.925
2021-09-17,1INCH/USD,225080043.111
2021-09-18,1INCH/USD,226378998.153
2021-09-19,1INCH/USD,212739970.21199998
2021-09-20,1INCH/USD,185894899.344
2021-09-21,1INCH/USD,167348707.91099998
2021-09-22,1INCH/USD,190008256.977
2021-09-23,1INCH/USD,200616389.82
2021-09-24,1INCH/USD,184162959.28800002
2021-09-25,1INCH/USD,179760944.979
2021-09-26,1INCH/USD,193472137.08900002
2021-09-27,1INCH/USD,181853705.88
2021-09-28,1INCH/USD,171101244.699
2021-09-29,1INCH/USD,180266094.16200003
2021-09-30,1INCH/USD,184307287.626
2021-10-01,1INCH/USD,210719373.48
2021-10-02,1INCH/USD,220317207.957
2021-10-03,1INCH/USD,222337804.689
2021-10-04,1INCH/USD,229121236.575
2021-10-05,1INCH/USD,236481981.81300002
2021-10-06,1INCH/USD,224791386.435
2021-10-07,1INCH/USD,226378998.153
2021-10-08,1INCH/USD,227894445.702
2021-10-09,1INCH/USD,230708848.293
2021-10-10,1INCH/USD,213245119.395
2021-10-11,1INCH/USD,209492582.607
2021-10-12,1INCH/USD,208915269.255
2021-10-13,1INCH/USD,213822432.747
2021-10-14,1INCH/USD,242327279.502
2021-10-15,1INCH/USD,233956235.898
2021-10-16,1INCH/USD,231286161.645
2021-10-17,1INCH/USD,251059143.951
2021-10-18,1INCH/USD,248822054.71199998
2021-10-19,1INCH/USD,269100186.20100003
2021-10-20,1INCH/USD,300491599.71599996
2021-10-21,1INCH/USD,298687495.491
2021-10-22,1INCH/USD,290027795.211
2021-10-23,1INCH/USD,289955631.042
2021-10-24,1INCH/USD,274512498.876
2021-10-25,1INCH/USD,292120556.112
2021-10-26,1INCH/USD,285048467.55
2021-10-27,1INCH/USD,414222330.06
2021-10-28,1INCH/USD,370490843.646
2021-01-03,AAVE/USD,1130678518.227528
2021-01-04,AAVE/USD,1377618417.493947
2021-01-05,AAVE/USD,1444644789.4885983
2021-01-06,AAVE/USD,1394579799.9109976
2021-01-07,AAVE/USD,1387773563.358701
2021-01-08,AAVE/USD,1334961986.2874303
2021-01-09,AAVE/USD,1423214179.176146
2021-01-10,AAVE/USD,1529138494.2280815
2021-01-11,AAVE/USD,1376642656.1475117
2021-01-12,AAVE/USD,1536619331.2174199
2021-01-13,AAVE/USD,1773596827.6010966
2021-01-14,AAVE/USD,1779451395.6797094
2021-01-15,AAVE/USD,2005803935.1799784
2021-01-16,AAVE/USD,2180429076.882794
2021-01-17,AAVE/USD,2251189844.1539264
2021-01-18,AAVE/USD,2414226314.063274
2021-01-19,AAVE/USD,2244178818.1832423
2021-01-20,AAVE/USD,2372376994.093932
2021-01-21,AAVE/USD,1931670165.723637
2021-01-22,AAVE/USD,2286413624.116608
2021-01-23,AAVE/USD,2576961623.063228
2021-01-24,AAVE/USD,3183186487.236274
2021-01-25,AAVE/USD,2988431750.349587
2021-01-26,AAVE/USD,3346596396.6732697
2021-01-27,AAVE/USD,3453532612.380768
2021-01-28,AAVE/USD,3592801463.320768
2021-01-29,AAVE/USD,3470518087.67057
2021-01-30,AAVE/USD,3800566351.4932613
2021-01-31,AAVE/USD,3617544843.636551
2021-02-01,AAVE/USD,3549735453.277476
2021-02-02,AAVE/USD,3656418693.821083
2021-02-03,AAVE/USD,4645202237.978699
2021-02-04,AAVE/USD,5630769383.623989
2021-02-05,AAVE/USD,6103784754.354034
2021-02-06,AAVE/USD,5709842191.994386
2021-02-07,AAVE/USD,5703879205.988392
2021-02-08,AAVE/USD,5899163986.075612
2021-02-09,AAVE/USD,5895489822.9810095
2021-02-10,AAVE/USD,6303068951.318003
2021-02-11,AAVE/USD,6243294534.02155
2021-02-12,AAVE/USD,6371528849.241367
2021-02-13,AAVE/USD,5959998489.773129
2021-02-14,AAVE/USD,5646261100.803199
2021-02-15,AAVE/USD,5481068318.782592
2021-02-16,AAVE/USD,5217480244.444892
2021-02-17,AAVE/USD,5449964420.060416
2021-02-18,AAVE/USD,5322754051.932537
2021-02-19,AAVE/USD,5059924903.086509
2021-02-20,AAVE/USD,5327825601.646727
2021-02-21,AAVE/USD,5278218376.651403
2021-02-22,AAVE/USD,4815358151.786112
2021-02-23,AAVE/USD,4392058423.97877
2021-02-24,AAVE/USD,4438208321.734253
