date,base,market_cap,symbol
2021-04-09,1INCH,441572550.111,1INCH
2021-04-10,1INCH,413789345.046,1INCH
2021-04-11,1INCH,409820315.7510001,1INCH
2021-04-12,1INCH,396902929.5,1INCH
2021-04-13,1INCH,404840988.09,1INCH
2021-04-14,1INCH,424108821.213,1INCH
2021-04-15,1INCH,439768445.886,1INCH
2021-04-16,1INCH,420356284.425,1INCH
2021-04-17,1INCH,467695979.289,1INCH
2021-04-18,1INCH,383408229.897,1INCH
2021-04-19,1INCH,349635398.805,1INCH
2021-04-20,1INCH,362624949.225,1INCH
2021-04-21,1INCH,361975471.704,1INCH
2021-04-22,1INCH,331738684.893,1INCH
2021-04-23,1INCH,309295628.334,1INCH
2021-04-24,1INCH,285409288.395,1INCH
2021-04-25,1INCH,288656676.0,1INCH
2021-04-26,1INCH,327625327.26,1INCH
2021-04-27,1INCH,369480545.28,1INCH
2021-04-28,1INCH,402676063.02,1INCH
2021-04-29,1INCH,395243153.613,1INCH
2021-04-30,1INCH,407799719.019,1INCH
2021-05-01,1INCH,398707033.725,1INCH
2021-05-02,1INCH,387232930.854,1INCH
2021-05-03,1INCH,424253149.551,1INCH
2021-05-04,1INCH,378789723.081,1INCH
2021-05-05,1INCH,432479864.817,1INCH
2021-05-06,1INCH,477221649.597,1INCH
2021-05-07,1INCH,475417545.372,1INCH
2021-05-08,1INCH,541736416.683,1INCH
2021-05-09,1INCH,511210973.196,1INCH
2021-05-10,1INCH,445541579.406,1INCH
2021-05-11,1INCH,472386650.2740001,1INCH
2021-05-12,1INCH,404047182.231,1INCH
2021-05-13,1INCH,402603898.851,1INCH
2021-05-14,1INCH,414583150.905,1INCH
2021-05-15,1INCH,379367036.433,1INCH
2021-05-16,1INCH,370418679.477,1INCH
2021-05-17,1INCH,339676743.483,1INCH
2021-05-18,1INCH,380088678.123,1INCH
2021-05-19,1INCH,231863474.997,1INCH
2021-05-20,1INCH,260007500.907,1INCH
2021-05-21,1INCH,225152207.28,1INCH
2021-05-22,1INCH,195997883.004,1INCH
2021-05-23,1INCH,168503334.615,1INCH
2021-05-24,1INCH,212956462.719,1INCH
2021-05-25,1INCH,208626612.579,1INCH
2021-05-26,1INCH,247523099.67,1INCH
2021-05-27,1INCH,237131459.334,1INCH
2021-05-28,1INCH,199750419.792,1INCH
2021-05-29,1INCH,185389750.161,1INCH
2021-05-30,1INCH,208121463.396,1INCH
2021-05-31,1INCH,230997504.969,1INCH
2021-06-01,1INCH,225152207.28,1INCH
2021-06-02,1INCH,243409742.03700003,1INCH
2021-06-03,1INCH,252213770.655,1INCH
2021-06-04,1INCH,244492204.572,1INCH
2021-06-05,1INCH,266069291.103,1INCH
2021-06-06,1INCH,282234064.959,1INCH
2021-06-07,1INCH,245574667.107,1INCH
2021-06-08,1INCH,223708923.9,1INCH
2021-06-09,1INCH,230348027.448,1INCH
2021-06-10,1INCH,218729596.239,1INCH
2021-06-11,1INCH,197729823.06,1INCH
2021-06-12,1INCH,196936017.201,1INCH
2021-06-13,1INCH,217502805.366,1INCH
2021-06-14,1INCH,265636306.089,1INCH
2021-06-15,1INCH,270110484.567,1INCH
2021-06-16,1INCH,259430187.555,1INCH
2021-06-17,1INCH,246079816.29,1INCH
2021-06-18,1INCH,228471759.054,1INCH
2021-06-19,1INCH,217574969.535,1INCH
2021-06-20,1INCH,244997353.755,1INCH
2021-06-21,1INCH,192966987.906,1INCH
2021-06-22,1INCH,173338333.93800002,1INCH
2021-06-23,1INCH,188204152.752,1INCH
2021-06-24,1INCH,196575196.356,1INCH
2021-06-25,1INCH,169441468.81199998,1INCH
2021-06-26,1INCH,169585797.15,1INCH
2021-06-27,1INCH,180843407.514,1INCH
2021-06-28,1INCH,178606318.275,1INCH
2021-06-29,1INCH,183657810.105,1INCH
2021-06-30,1INCH,183080496.753,1INCH
2021-07-01,1INCH,170812588.023,1INCH
2021-07-02,1INCH,172977513.093,1INCH
2021-07-03,1INCH,179472288.303,1INCH
2021-07-04,1INCH,182647511.739,1INCH
2021-07-05,1INCH,179616616.641,1INCH
2021-07-06,1INCH,204801911.622,1INCH
2021-07-07,1INCH,198379300.581,1INCH
2021-07-08,1INCH,181276392.528,1INCH
2021-07-09,1INCH,185967063.513,1INCH
2021-07-10,1INCH,179760944.979,1INCH
2021-07-11,1INCH,181565049.204,1INCH
2021-07-12,1INCH,174492960.64200002,1INCH
2021-07-13,1INCH,167493036.249,1INCH
2021-07-14,1INCH,165472439.51700002,1INCH
2021-07-15,1INCH,155152963.35,1INCH
