rank,coin_name,coin_symbol,Days,First Date,Last Date,Years
1,Bitcoin,BTC,1906,2020-08-10,2025-10-28,5.22
2,Ethereum,ETH,1898,2020-08-18,2025-10-28,5.19
3,XRP,XRP,1876,2020-09-09,2025-10-28,5.13
4,Tether USDt,USDT,65,2025-08-25,2025-10-28,0.18
5,Solana,SOL,1518,2021-09-02,2025-10-28,4.15
6,BNB,BNB,1895,2020-08-21,2025-10-28,5.19
7,Dogecoin,DOGE,1730,2021-02-02,2025-10-28,4.73
8,USDC,USDC,961,2023-03-13,2025-10-28,2.63
9,Cardano,ADA,1890,2020-08-26,2025-10-28,5.17
10,TRON,TRX,1878,2020-09-07,2025-10-28,5.14
11,Avalanche,AVAX,1435,2021-11-24,2025-10-28,3.93
12,Sui,SUI,910,2023-05-03,2025-10-28,2.49
13,Chainlink,LINK,1897,2020-08-19,2025-10-28,5.19
14,Toncoin,TON,607,2024-03-01,2025-10-28,1.66
15,Shiba Inu,SHIB,1634,2021-05-09,2025-10-28,4.47
16,Stellar,XLM,1657,2021-04-16,2025-10-28,4.53
17,Polkadot,DOT,1891,2020-08-25,2025-10-28,5.17
18,Hedera,HBAR,1687,2021-03-17,2025-10-28,4.62
19,Bitcoin Cash,BCH,1869,2020-09-08,2025-10-28,5.14
20,Uniswap,UNI,1660,2021-04-13,2025-10-28,4.54
21,Litecoin,LTC,1877,2020-09-08,2025-10-28,5.14
22,Pepe,PEPE,910,2023-05-03,2025-10-28,2.49
24,Hyperliquid,HYPE,152,2025-05-30,2025-10-28,0.41
26,NEAR Protocol,NEAR,1414,2021-12-15,2025-10-28,3.87
28,Internet Computer,ICP,1524,2021-05-11,2025-10-28,4.47
29,Aptos,APT,1100,2022-10-25,2025-10-28,3.01
30,Dai,DAI,311,2024-12-19,2025-10-28,0.86
31,Aave,AAVE,1400,2021-12-29,2025-10-28,3.83
32,Mantle,MNT,758,2023-10-02,2025-10-28,2.07
33,POL (ex-MATIC),POL,411,2024-09-13,2025-10-28,1.12
34,Render,RENDER,460,2024-07-26,2025-10-28,1.26
