Coin Symbol,Coinalyze Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %,First Date,Last Date
0G,0GUSDT_PERP.A,39,-2.807,3.3807,-10.826,0.5,2025-09-17,2025-10-25
1000SATS,1000SATSUSDT_PERP.A,365,0.453,0.6402,-2.9799,3.5922,2024-10-26,2025-10-25
1INCH,1INCHUSDT_PERP.A,365,0.6661,0.9747,-6.9022,6.5292,2024-10-26,2025-10-25
A,AUSDT_PERP.A,151,0.3175,0.4487,-1.9764,0.5,2025-05-28,2025-10-25
ACE,ACEUSDT_PERP.A,365,0.4353,0.4775,-2.8717,2.5532,2024-10-26,2025-10-25
ACH,ACHUSDT_PERP.A,365,-0.4809,11.0331,-193.8297,6.9652,2024-10-26,2025-10-25
ACT,ACTUSDT_PERP.A,349,0.5023,0.7449,-6.8155,5.6515,2024-11-11,2025-10-25
AERO,AEROUSDT_PERP.A,326,-1.0185,4.0196,-24.9424,20.101,2024-12-04,2025-10-25
AEVO,AEVOUSDT_PERP.A,365,0.4625,0.5066,-2.6022,3.4678,2024-10-26,2025-10-25
AGI,AGIUSDT.6,365,0.9897,2.2243,-16.8912,20.0782,2024-10-26,2025-10-25
AI16Z,AI16ZUSDT_PERP.A,297,0.5111,1.1803,-6.3123,11.69,2025-01-02,2025-10-25
AIXBT,AIXBTUSDT_PERP.A,310,0.119,2.8739,-11.714,42.899,2024-12-20,2025-10-25
AKT,AKTUSDT_PERP.A,342,0.6097,2.8442,-12.3545,14.3112,2024-11-18,2025-10-25
ALICE,ALICEUSDT_PERP.A,365,0.7095,1.5062,-13.9629,7.1236,2024-10-26,2025-10-25
ALT,ALTUSDT_PERP.A,365,0.0639,1.9686,-25.8329,6.4659,2024-10-26,2025-10-25
ANKR,ANKRUSDT_PERP.A,365,0.7093,1.1471,-11.7028,4.7183,2024-10-26,2025-10-25
APE,APEUSDT_PERP.A,365,0.6866,0.8484,-2.3428,6.3471,2024-10-26,2025-10-25
API3,API3USDT_PERP.A,365,-2.5047,13.3555,-187.2943,5.3126,2024-10-26,2025-10-25
ARK,ARKUSDT_PERP.A,365,-2.2146,14.0818,-211.2185,6.089,2024-10-26,2025-10-25
ARKM,ARKMUSDT_PERP.A,365,0.6704,1.1334,-7.4751,6.022,2024-10-26,2025-10-25
ASTER,ASTERUSDT_PERP.A,37,3.6932,8.7266,-2.2286,38.658,2025-09-19,2025-10-25
ASTR,ASTRUSDT_PERP.A,365,0.0764,2.7126,-36.6112,5.4355,2024-10-26,2025-10-25
ATH,ATHUSDT_PERP.A,207,-0.1317,1.5388,-8.793,0.8464,2025-04-02,2025-10-25
AUDIO,AUDIOUSDT.6,365,0.2068,5.499,-41.7922,19.5629,2024-10-26,2025-10-25
AVA,AVAUSDT_PERP.A,317,0.24,0.9501,-9.4996,0.5,2024-12-13,2025-10-25
AVNT,AVNTUSDT_PERP.A,47,-5.0455,15.4779,-87.8775,5.2372,2025-09-09,2025-10-25
AWE,AWEUSDT_PERP.A,158,-0.7384,3.7294,-30.8382,0.5,2025-05-21,2025-10-25
AXL,AXLUSDT_PERP.A,365,-0.2828,2.9268,-38.5894,3.4259,2024-10-26,2025-10-25
AXS,AXSUSD_PERP.A,365,-0.1161,2.4212,-23.8336,1.5927,2024-10-26,2025-10-25
B,BUSDT_PERP.A,157,1.7436,1.8441,0.5,9.6908,2025-05-22,2025-10-25
BABY,BABYUSDT_PERP.A,204,-1.1541,7.9051,-85.6214,0.5,2025-04-05,2025-10-25
BADGER,BADGER-USD.8,198,0.125,0.0,0.125,0.125,2025-04-08,2025-10-25
BAND,BANDUSDT_PERP.A,365,0.5829,1.521,-15.8819,5.8377,2024-10-26,2025-10-25
BAT,BATUSDT_PERP.A,365,0.1153,3.0005,-45.8527,6.1493,2024-10-26,2025-10-25
BERA,BERAUSDT_PERP.A,262,-3.1109,10.1057,-160.1256,0.5,2025-02-06,2025-10-25
BICO,BICOUSDT_PERP.A,365,0.7849,0.9951,-4.1365,6.8295,2024-10-26,2025-10-25
BIO,BIOUSDT_PERP.A,296,-2.4297,11.0983,-137.9679,0.5,2025-01-03,2025-10-25
BLAST,BLASTUSDT.6,365,-3.948,8.4262,-92.3536,8.9133,2024-10-26,2025-10-25
BLUR,BLURUSDT_PERP.A,365,0.5897,1.1061,-3.4603,5.8986,2024-10-26,2025-10-25
BLZ,BLZ.H,365,0.0389,0.1495,-0.012,1.9144,2024-10-26,2025-10-25
BNT,BNTUSDT_PERP.A,365,0.2735,1.5607,-10.2267,5.659,2024-10-26,2025-10-25
BOBA,BOBAUSDT.6,365,0.3621,4.6934,-60.279,9.7932,2024-10-26,2025-10-25
BOME,BOMEUSDT_PERP.A,365,0.3926,0.5924,-3.508,3.1375,2024-10-26,2025-10-25
C98,C98USDT_PERP.A,365,0.7673,0.9674,-3.3111,6.9251,2024-10-26,2025-10-25
