Rank,Coin,Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %
1,Bitcoin,BTC,1905,1.057,2.0546,-30.0,18.3652
2,Ethereum,ETH,1897,0.9875,2.361,-37.5,21.0447
3,XRP,XRP,1875,1.2053,2.8524,-52.5712,23.9981
4,Tether USDt,USDT,64,-4.0342,13.0001,-81.6104,0.5
5,Solana,SOL,1517,0.2835,7.0229,-250.0,10.735
6,BNB,BNB,1894,-0.0214,4.298,-48.145,47.074
7,Dogecoin,DOGE,1729,1.2115,2.9055,-65.8932,37.8903
8,USDC,USDC,960,0.0456,0.7441,-2.7637,2.03
9,Cardano,ADA,1889,1.0928,2.6733,-45.4562,29.3144
10,TRON,TRX,1877,0.2095,3.354,-71.2085,25.4584
11,Avalanche,AVAX,1434,0.5775,1.9505,-35.1029,11.0103
12,Sui,SUI,909,0.5687,1.7768,-13.2376,11.338
13,Chainlink,LINK,1896,0.9741,2.8426,-80.2647,29.1836
14,Toncoin,TON,606,0.4173,1.6315,-8.4639,15.0693
15,Shiba Inu,SHIB,1633,0.5708,4.6163,-75.0,18.6614
16,Stellar,XLM,1656,0.7068,2.6733,-90.0,21.9712
17,Polkadot,DOT,1890,0.9826,2.9884,-56.9891,31.4425
18,Hedera,HBAR,1686,0.8629,3.5826,-75.0,31.9956
19,Bitcoin Cash,BCH,1868,0.3952,2.6254,-49.1407,18.512
20,Uniswap,UNI,1659,0.9598,2.4874,-81.1538,21.7176
21,Litecoin,LTC,1876,1.0642,2.5353,-60.6737,19.6102
22,Pepe,PEPE,909,0.7199,5.8841,-150.0,23.5089
24,Hyperliquid,HYPE,151,0.7081,0.8129,-2.0558,3.953
26,NEAR Protocol,NEAR,1413,0.8542,1.7612,-31.0316,23.5183
28,Internet Computer,ICP,1523,0.8883,2.9923,-75.0,14.6387
29,Aptos,APT,1099,0.818,1.9884,-29.2848,11.3173
30,Dai,DAI,310,0.0952,0.0534,0.0,0.125
31,Aave,AAVE,1399,0.8214,1.0853,-12.5008,7.0628
32,Mantle,MNT,757,0.4849,1.6014,-8.9599,10.546
33,POL (ex-MATIC),POL,410,0.2325,0.7967,-7.4757,3.2194
34,Render,RENDER,459,0.3299,0.7369,-5.8166,3.1866
35,Ethereum Classic,ETC,1875,0.8335,2.5717,-41.3932,22.5131
37,Bittensor,TAO,565,0.3327,0.8962,-9.213,4.2384
38,VeChain,VET,2083,1.6783,4.3733,-75.0,45.843
39,Virtuals Protocol,VIRTUAL,322,0.1681,1.6387,-8.1714,10.8112
40,Artificial Superintelligence Alliance,FET,1015,0.9189,1.9766,-11.2372,14.6803
41,Arbitrum,ARB,950,1.0042,1.3393,-2.3108,11.2665
42,Ethena,ENA,574,-1.0221,3.9513,-60.1292,3.1718
43,MANTRA,OM,623,-1.3303,11.5496,-200.0,7.8782
44,Monero,XMR,2107,1.0979,4.0001,-48.75,42.6181
45,Filecoin,FIL,1831,0.955,5.1846,-120.0,28.3403
46,Algorand,ALGO,1323,0.8385,1.1195,-10.4261,7.0269
47,Kaspa,KAS,711,1.0332,1.835,-5.8806,15.0161
48,OKB,OKB,47,0.8716,1.3108,0.5,6.7854
49,Cosmos,ATOM,1405,0.3842,2.0155,-43.3824,8.2437
50,Optimism,OP,1187,0.9979,1.3302,-17.4484,8.746
