rank,coin_name,coin_symbol,Data Points,Avg OI USD,Std OI USD,Min OI USD,Max OI USD
1,Bitcoin,BTC,1502,1181501671.6378,769218734.2581,296232200.0,3241583100.0
2,Ethereum,ETH,1502,527098921.8043,337837929.8054,133514800.0,1435404280.0
3,XRP,XRP,1502,53134559.5539,54160146.668,11473500.0,250087560.0
4,Tether USDt,USDT,63,14380069.6293,9073414.818,2325245.348,41043441.1136
5,Solana,SOL,1502,73214102.3169,78208157.8029,1873330.0,309644580.0
6,BNB,BNB,1502,71296042.8762,35093530.4033,25256640.0,188428320.0
7,Dogecoin,DOGE,1502,57750038.9281,46568686.6806,7963100.0,245453020.0
8,USDC,USDC,960,7785258.0203,7400354.6454,1711954.5036,92765963.1016
9,Cardano,ADA,1502,30383190.3529,20437703.2085,6955130.0,95537930.0
10,TRON,TRX,1502,4346223.3422,3191652.8421,1090550.0,43564340.0
11,Avalanche,AVAX,1433,5375850.4327,3528608.7308,719450.0,15694150.0
12,Sui,SUI,908,132794130.3847,112827091.3486,15210647.5072,544301332.2568
13,Chainlink,LINK,1502,10826996.1252,5741155.4379,4006400.0,38650040.0
14,Toncoin,TON,605,64428018.9247,27041525.4279,2216674.3536,142962172.7824
15,Shiba Inu,SHIB,1502,18012497.4729,12512511.2311,4605650.54,154920521.32
16,Stellar,XLM,1502,2317215.2064,1751307.9961,467490.0,8920680.0
17,Polkadot,DOT,1502,17970734.6072,15596169.0257,3763720.0,100558130.0
18,Hedera,HBAR,1502,19647396.8383,21005326.2705,2866220.4979,142378473.021
19,Bitcoin Cash,BCH,1502,7472779.9334,3913830.8985,1653550.0,20013280.0
20,Uniswap,UNI,1502,7386915.6924,5297812.5701,1457130.0,25513190.0
21,Litecoin,LTC,1502,20022776.0985,8626685.0974,6326730.0,61295630.0
22,Pepe,PEPE,908,46195594.0284,28218649.5189,6398815.073,200983620.28
24,Hyperliquid,HYPE,150,140474589.3549,63214252.7624,7996692.7958,272063439.2196
26,NEAR Protocol,NEAR,1412,4380270.779,3183735.6319,251230.0,14701700.0
28,Internet Computer,ICP,1502,22868555.5905,18331554.5389,1355583.708,117925911.8871
29,Aptos,APT,1098,4215195.3552,2447231.3967,286820.0,10626050.0
30,Dai,DAI,3,0.0,0.0,0.0,0.0
31,Aave,AAVE,1398,2464818.4764,2022997.7092,100560.0,9094590.0
32,Mantle,MNT,756,29973843.7782,48716917.69,848298.0032,379189878.847
33,POL (ex-MATIC),POL,409,23219368.1898,9514517.0457,7807341.382,65874534.7366
