symbol,avg_period_return,avg_dilution_velocity,avg_rank,typical_decile,n_periods,category
ZK,-0.026297882124506518,5.239505415762614,143.14285714285714,2,14,Bottom 10
PEPE,-0.057050748590141316,0.06919345500953476,28.0,2,11,Bottom 10
PYTH,-0.05956767196560343,21.110660681370266,93.55555555555556,9,9,Bottom 10
WIF,-0.06087911416130929,-0.005119833258446254,84.72727272727273,1,11,Bottom 10
RSR,-0.06201694543326065,7.379995682386877,126.14285714285714,6,7,Bottom 10
APE,-0.06508609152398638,17.204738009317396,95.36666666666666,10,30,Bottom 10
XCN,-0.0687628807548566,11.569398363439321,140.43478260869566,7,23,Bottom 10
STRK,-0.09748702486557025,18.97013320080031,95.84210526315789,9,19,Bottom 10
SPX,-0.20968274091827588,0.0,77.5,2,2,Bottom 10
FARTCOIN,-0.21376835750071216,0.0,83.4,2,5,Bottom 10
