decile,total_return_pct,annualized_return_pct,volatility_pct,sharpe_ratio,max_drawdown_pct,n_days
1,-76.5274546511933,-27.516124928060936,106.30609631435522,-0.25883863561967,-97.95837875328256,1616
2,4020.1601073461575,118.85966394246914,118.84475244204712,1.0001254704151055,-90.20266864722663,1700
3,-72.991598246156,-24.832030893513146,79.46987776847234,-0.3124709838595552,-93.5741753920339,1615
4,-64.93145375292839,-19.8060852456304,86.1893071867123,-0.2297974759528393,-93.54250417128763,1677
5,367.75936904211795,38.39921636251857,91.97812470408422,0.4174820533258109,-88.21321433413394,1704
6,-16.614130879619225,-3.754838677066219,95.93398112932225,-0.03913981920550727,-90.80466696869728,1705
7,-94.29919278433113,-45.30466816025282,108.880095412309,-0.4160968815162434,-98.85969688619592,1570
8,-63.99811102619067,-19.361155257071506,111.67678470003312,-0.17336777118965319,-94.2821578397606,1579
9,-72.32831227267683,-23.70952626999536,103.25595756608554,-0.22961896658428516,-92.99534151769596,1243
10,-42.15651539684471,-11.059550846634082,106.34385375810413,-0.10399802579837641,-92.85775037905533,1707
