symbol,avg_period_return,avg_dilution_velocity,avg_rank,avg_volatility,typical_decile,n_periods,category
IMX,-0.026504425017318898,21.802036065257635,50.90909090909091,1.066718539788327,9,22,Bottom 10
ZK,-0.028690847565182764,6.1127563183897164,145.58333333333334,1.1316477951754054,2,12,Bottom 10
APE,-0.0316834833051606,20.953771641066087,113.86363636363636,1.1513146474595042,10,22,Bottom 10
PEPE,-0.03817722431542863,-7.325290579131467e-08,29.444444444444443,1.1726863248751493,2,9,Bottom 10
RSR,-0.05015576131718182,7.855363207084932,129.2,1.0381390032267273,6,5,Bottom 10
HBAR,-0.06573227316831376,11.881947494795847,17.333333333333332,6.34820866009224,8,3,Bottom 10
OP,-0.07226419797758282,12.77615681224566,51.22727272727273,1.1439621169775924,8,22,Bottom 10
STRK,-0.09748702486557025,18.97013320080031,95.84210526315789,1.0928452044201218,9,19,Bottom 10
SPX,-0.21655480984340003,0.0,80.0,1.3171701960625934,2,1,Bottom 10
FARTCOIN,-0.22538038151641315,0.0,87.25,1.3776996263241144,2,4,Bottom 10
