symbol,avg_period_return,avg_dilution_velocity,avg_rank,typical_decile,n_periods,category
HBAR,0.5485379835107906,13.03492170570261,22.6,8,5,Top 10
SHIB,0.2814840307623356,1.3041805440910652,18.46153846153846,1,26,Top 10
XRP,0.19371851160034012,3.365945506524664,5.083333333333333,5,24,Top 10
ENA,0.16727331521360295,30.852367294520548,38.8,10,5,Top 10
JASMY,0.11348401084688005,1.9443236253527891,93.66666666666667,3,24,Top 10
BONK,0.10727863604484397,16.88382542933952,58.61904761904762,9,21,Top 10
ZEC,0.09832586138201899,6.651297365001236,84.01754385964912,8,57,Top 10
SUI,0.09805241874846995,13.630234582551441,40.214285714285715,9,28,Top 10
XLM,0.0739296980867273,4.386161345132062,23.24561403508772,5,57,Top 10
FET,0.07216870985627476,24.921565796660623,68.0,10,28,Top 10
