rank,coin_name,coin_symbol,Days,First Date,Last Date,Years
1,Bitcoin,BTC,1903,2020-08-10,2025-10-25,5.21
2,Ethereum,ETH,1895,2020-08-18,2025-10-25,5.19
3,XRP,XRP,1873,2020-09-09,2025-10-25,5.13
4,Tether USDt,USDT,62,2025-08-25,2025-10-25,0.17
5,Solana,SOL,1515,2021-09-02,2025-10-25,4.15
6,BNB,BNB,1892,2020-08-21,2025-10-25,5.18
7,Dogecoin,DOGE,1727,2021-02-02,2025-10-25,4.73
8,USDC,USDC,958,2023-03-13,2025-10-25,2.62
9,Cardano,ADA,1887,2020-08-26,2025-10-25,5.16
10,TRON,TRX,1875,2020-09-07,2025-10-25,5.13
11,Avalanche,AVAX,1432,2021-11-24,2025-10-25,3.92
12,Sui,SUI,907,2023-05-03,2025-10-25,2.48
13,Chainlink,LINK,1894,2020-08-19,2025-10-25,5.18
14,Toncoin,TON,604,2024-03-01,2025-10-25,1.65
15,Shiba Inu,SHIB,1631,2021-05-09,2025-10-25,4.46
16,Stellar,XLM,1654,2021-04-16,2025-10-25,4.53
17,Polkadot,DOT,1888,2020-08-25,2025-10-25,5.17
18,Hedera,HBAR,1684,2021-03-17,2025-10-25,4.61
19,Bitcoin Cash,BCH,1866,2020-09-08,2025-10-25,5.13
20,Uniswap,UNI,1657,2021-04-13,2025-10-25,4.53
21,Litecoin,LTC,1874,2020-09-08,2025-10-25,5.13
22,Pepe,PEPE,907,2023-05-03,2025-10-25,2.48
24,Hyperliquid,HYPE,149,2025-05-30,2025-10-25,0.41
26,NEAR Protocol,NEAR,1411,2021-12-15,2025-10-25,3.86
28,Internet Computer,ICP,1521,2021-05-11,2025-10-25,4.46
29,Aptos,APT,1097,2022-10-25,2025-10-25,3.0
30,Dai,DAI,308,2024-12-19,2025-10-25,0.85
31,Aave,AAVE,1397,2021-12-29,2025-10-25,3.82
32,Mantle,MNT,755,2023-10-02,2025-10-25,2.06
33,POL (ex-MATIC),POL,408,2024-09-13,2025-10-25,1.11
34,Render,RENDER,457,2024-07-26,2025-10-25,1.25
35,Ethereum Classic,ETC,1873,2020-09-09,2025-10-25,5.13
37,Bittensor,TAO,563,2024-04-11,2025-10-25,1.54
38,VeChain,VET,2081,2020-02-14,2025-10-25,5.69
39,Virtuals Protocol,VIRTUAL,320,2024-12-10,2025-10-25,0.87
40,Artificial Superintelligence Alliance,FET,1013,2023-01-17,2025-10-25,2.77
41,Arbitrum,ARB,948,2023-03-23,2025-10-25,2.59
42,Ethena,ENA,572,2024-04-02,2025-10-25,1.56
43,MANTRA,OM,621,2024-02-13,2025-10-25,1.7
44,Monero,XMR,2105,2020-01-21,2025-10-25,5.76
45,Filecoin,FIL,1829,2020-10-23,2025-10-25,5.0
46,Algorand,ALGO,1321,2022-03-15,2025-10-25,3.61
47,Kaspa,KAS,709,2023-11-17,2025-10-25,1.94
48,OKB,OKB,45,2025-09-11,2025-10-25,0.12
49,Cosmos,ATOM,1403,2021-12-23,2025-10-25,3.84
50,Optimism,OP,1185,2022-07-29,2025-10-25,3.24
