symbol,type,base,quote,last_price,base_volume_24h,notional_volume_24h,bid,ask,high_24h,low_24h,change_24h,percentage_24h,active
BTC/USDC:USDC,swap,BTC,USDC,124520.5,0,3912857940.12331,124520.0,124521.0,,,,,True
ETH/USDC:USDC,swap,ETH,USDC,4676.85,0,2605825442.943621,4676.54,4676.9,,,,,True
SOL/USDC:USDC,swap,SOL,USDC,233.045,0,1013040350.2126002,233.04,233.05,,,,,True
HYPE/USDC:USDC,swap,HYPE,USDC,46.8425,0,518056458.6108202,46.8409,46.8439,,,,,True
ASTER/USDC:USDC,swap,ASTER,USDC,2.05115,0,432687188.8133002,2.050655,2.051612,,,,,True
XPL/USDC:USDC,swap,XPL,USDC,1.06475,0,415552234.74904996,1.064512,1.064937,,,,,True
DOGE/USDC:USDC,swap,DOGE,USDC,0.266485,0,182016620.81080997,0.26648,0.26649,,,,,True
HYPE/USDC,spot,HYPE,USDC,46.8055,0,154051685.10080004,,,,,,,True
UBTC/USDC,spot,UBTC,USDC,124552.5,0,152257922.38540995,,,,,,,True
XRP/USDC:USDC,swap,XRP,USDC,2.98615,0,131883980.0311,2.9861,2.9862,,,,,True
PUMP/USDC:USDC,swap,PUMP,USDC,0.006191,0,123469361.98735806,0.00619,0.006193,,,,,True
FARTCOIN/USDC:USDC,swap,FARTCOIN,USDC,0.73693,0,113844174.45344499,0.73669,0.73709,,,,,True
PUP/USDC,spot,PUP,USDC,0.052012,0,89836148.70735142,,,,,,,True
BNB/USDC:USDC,swap,BNB,USDC,1217.75,0,87044554.87800005,1217.573,1217.8,,,,,True
UETH/USDC,spot,UETH,USDC,4679.55,0,69272343.32491998,,,,,,,True
UXPL/USDC,spot,UXPL,USDC,1.0643,0,57026303.987566,,,,,,,True
ENA/USDC:USDC,swap,ENA,USDC,0.599725,0,50508248.78797998,0.599681,0.599761,,,,,True
KPEPE/USDC:USDC,swap,KPEPE,USDC,0.010145,0,45173514.697748,0.010144,0.010146,,,,,True
ZEC/USDC:USDC,swap,ZEC,USDC,156.755,0,37092697.85090002,156.6171,156.8141,,,,,True
PENGU/USDC:USDC,swap,PENGU,USDC,0.033098,0,34753135.93219799,0.033098,0.033099,,,,,True
USOL/USDC,spot,USOL,USDC,233.085,0,33604827.47982999,,,,,,,True
MNT/USDC:USDC,swap,MNT,USDC,2.38485,0,33575534.45407999,2.38384,2.38571,,,,,True
LINK/USDC:USDC,swap,LINK,USDC,23.4195,0,33301756.87090001,23.419,23.42,,,,,True
CAKE/USDC:USDC,swap,CAKE,USDC,3.7446,0,32253407.44189,3.74358,3.74616,,,,,True
UPUMP/USDC,spot,UPUMP,USDC,0.00618905,0,31454372.386253394,,,,,,,True
SUI/USDC:USDC,swap,SUI,USDC,3.6073,0,30670263.094830006,3.60709,3.60765,,,,,True
STRK/USDC:USDC,swap,STRK,USDC,0.18072,0,29888701.753765006,0.18059,0.18074,,,,,True
USDT0/USDC,spot,USDT0,USDC,1.00065,0,25849044.449932005,,,,,,,True
AVAX/USDC:USDC,swap,AVAX,USDC,30.337,0,23808151.439850003,30.3341,30.3404,,,,,True
APEX/USDC:USDC,swap,APEX,USDC,2.2321,0,22179159.6032,2.231708,2.232546,,,,,True
KBONK/USDC:USDC,swap,KBONK,USDC,0.021283,0,21974475.276183996,0.021282,0.021285,,,,,True
LTC/USDC:USDC,swap,LTC,USDC,118.215,0,20149077.930899996,118.1962,118.2406,,,,,True
ARB/USDC:USDC,swap,ARB,USDC,0.45834,0,20106710.243277993,0.45826,0.45836,,,,,True
SPX/USDC:USDC,swap,SPX,USDC,1.5679,0,19000082.384730007,1.56729,1.56844,,,,,True
LAUNCHCOIN/USDC:USDC,swap,LAUNCHCOIN,USDC,0.122045,0,18765505.112839997,0.121941,0.122149,,,,,True
EIGEN/USDC:USDC,swap,EIGEN,USDC,1.9348,0,18454044.36445299,1.9343,1.935,,,,,True
PAXG/USDC:USDC,swap,PAXG,USDC,3978.6,0,14751796.438400002,3978.019,3979.0,,,,,True
AAVE/USDC:USDC,swap,AAVE,USDC,295.62,0,13913760.912299998,295.5908,295.6578,,,,,True
WLD/USDC:USDC,swap,WLD,USDC,1.30105,0,13394279.81204,1.301,1.30136,,,,,True
CRV/USDC:USDC,swap,CRV,USDC,0.7704,0,12797953.132176,0.77035,0.77041,,,,,True
