symbol,id,base,quote,settle,contract,linear,inverse,active,contractSize,type
0G/USDC:USDC,210,0G,USDC,USDC,True,True,False,True,1.0,swap
2Z/USDC:USDC,213,2Z,USDC,USDC,True,True,False,True,1.0,swap
AAVE/USDC:USDC,28,AAVE,USDC,USDC,True,True,False,True,1.0,swap
ACE/USDC:USDC,96,ACE,USDC,USDC,True,True,False,True,1.0,swap
ADA/USDC:USDC,65,ADA,USDC,USDC,True,True,False,True,1.0,swap
AI/USDC:USDC,115,AI,USDC,USDC,True,True,False,False,1.0,swap
AI16Z/USDC:USDC,166,AI16Z,USDC,USDC,True,True,False,True,1.0,swap
AIXBT/USDC:USDC,167,AIXBT,USDC,USDC,True,True,False,True,1.0,swap
ALGO/USDC:USDC,158,ALGO,USDC,USDC,True,True,False,True,1.0,swap
ALT/USDC:USDC,107,ALT,USDC,USDC,True,True,False,True,1.0,swap
ANIME/USDC:USDC,176,ANIME,USDC,USDC,True,True,False,True,1.0,swap
APE/USDC:USDC,8,APE,USDC,USDC,True,True,False,True,1.0,swap
APEX/USDC:USDC,212,APEX,USDC,USDC,True,True,False,True,1.0,swap
APT/USDC:USDC,27,APT,USDC,USDC,True,True,False,True,1.0,swap
AR/USDC:USDC,117,AR,USDC,USDC,True,True,False,True,1.0,swap
ARB/USDC:USDC,11,ARB,USDC,USDC,True,True,False,True,1.0,swap
ARK/USDC:USDC,55,ARK,USDC,USDC,True,True,False,True,1.0,swap
ASTER/USDC:USDC,207,ASTER,USDC,USDC,True,True,False,True,1.0,swap
ATOM/USDC:USDC,2,ATOM,USDC,USDC,True,True,False,True,1.0,swap
AVAX/USDC:USDC,6,AVAX,USDC,USDC,True,True,False,True,1.0,swap
AVNT/USDC:USDC,208,AVNT,USDC,USDC,True,True,False,True,1.0,swap
BABY/USDC:USDC,189,BABY,USDC,USDC,True,True,False,True,1.0,swap
BADGER/USDC:USDC,77,BADGER,USDC,USDC,True,True,False,False,1.0,swap
BANANA/USDC:USDC,49,BANANA,USDC,USDC,True,True,False,True,1.0,swap
BCH/USDC:USDC,26,BCH,USDC,USDC,True,True,False,True,1.0,swap
BERA/USDC:USDC,180,BERA,USDC,USDC,True,True,False,True,1.0,swap
BIGTIME/USDC:USDC,59,BIGTIME,USDC,USDC,True,True,False,True,1.0,swap
BIO/USDC:USDC,169,BIO,USDC,USDC,True,True,False,True,1.0,swap
BLAST/USDC:USDC,137,BLAST,USDC,USDC,True,True,False,True,1.0,swap
BLUR/USDC:USDC,62,BLUR,USDC,USDC,True,True,False,True,1.0,swap
BLZ/USDC:USDC,47,BLZ,USDC,USDC,True,True,False,False,1.0,swap
BNB/USDC:USDC,7,BNB,USDC,USDC,True,True,False,True,1.0,swap
BNT/USDC:USDC,56,BNT,USDC,USDC,True,True,False,False,1.0,swap
BOME/USDC:USDC,120,BOME,USDC,USDC,True,True,False,True,1.0,swap
BRETT/USDC:USDC,134,BRETT,USDC,USDC,True,True,False,True,1.0,swap
BSV/USDC:USDC,64,BSV,USDC,USDC,True,True,False,True,1.0,swap
BTC/USDC:USDC,0,BTC,USDC,USDC,True,True,False,True,1.0,swap
CAKE/USDC:USDC,99,CAKE,USDC,USDC,True,True,False,True,1.0,swap
CANTO/USDC:USDC,57,CANTO,USDC,USDC,True,True,False,False,1.0,swap
CATI/USDC:USDC,143,CATI,USDC,USDC,True,True,False,False,1.0,swap
CELO/USDC:USDC,144,CELO,USDC,USDC,True,True,False,True,1.0,swap
CFX/USDC:USDC,21,CFX,USDC,USDC,True,True,False,True,1.0,swap
CHILLGUY/USDC:USDC,155,CHILLGUY,USDC,USDC,True,True,False,True,1.0,swap
COMP/USDC:USDC,29,COMP,USDC,USDC,True,True,False,True,1.0,swap
CRV/USDC:USDC,16,CRV,USDC,USDC,True,True,False,True,1.0,swap
CYBER/USDC:USDC,45,CYBER,USDC,USDC,True,True,False,False,1.0,swap
DOGE/USDC:USDC,12,DOGE,USDC,USDC,True,True,False,True,1.0,swap
DOOD/USDC:USDC,194,DOOD,USDC,USDC,True,True,False,True,1.0,swap
DOT/USDC:USDC,48,DOT,USDC,USDC,True,True,False,True,1.0,swap
DYDX/USDC:USDC,4,DYDX,USDC,USDC,True,True,False,True,1.0,swap
DYM/USDC:USDC,109,DYM,USDC,USDC,True,True,False,True,1.0,swap
EIGEN/USDC:USDC,130,EIGEN,USDC,USDC,True,True,False,True,1.0,swap
ENA/USDC:USDC,122,ENA,USDC,USDC,True,True,False,True,1.0,swap
ENS/USDC:USDC,101,ENS,USDC,USDC,True,True,False,True,1.0,swap
ETC/USDC:USDC,102,ETC,USDC,USDC,True,True,False,True,1.0,swap
ETH/USDC:USDC,1,ETH,USDC,USDC,True,True,False,True,1.0,swap
ETHFI/USDC:USDC,121,ETHFI,USDC,USDC,True,True,False,True,1.0,swap
FARTCOIN/USDC:USDC,165,FARTCOIN,USDC,USDC,True,True,False,True,1.0,swap
FET/USDC:USDC,72,FET,USDC,USDC,True,True,False,True,1.0,swap
FIL/USDC:USDC,80,FIL,USDC,USDC,True,True,False,True,1.0,swap
FRIEND/USDC:USDC,43,FRIEND,USDC,USDC,True,True,False,False,1.0,swap
FTM/USDC:USDC,22,FTM,USDC,USDC,True,True,False,False,1.0,swap
FTT/USDC:USDC,51,FTT,USDC,USDC,True,True,False,True,1.0,swap
FXS/USDC:USDC,32,FXS,USDC,USDC,True,True,False,True,1.0,swap
GALA/USDC:USDC,93,GALA,USDC,USDC,True,True,False,True,1.0,swap
GAS/USDC:USDC,69,GAS,USDC,USDC,True,True,False,True,1.0,swap
GMT/USDC:USDC,86,GMT,USDC,USDC,True,True,False,True,1.0,swap
GMX/USDC:USDC,23,GMX,USDC,USDC,True,True,False,True,1.0,swap
GOAT/USDC:USDC,149,GOAT,USDC,USDC,True,True,False,True,1.0,swap
GRASS/USDC:USDC,151,GRASS,USDC,USDC,True,True,False,True,1.0,swap
GRIFFAIN/USDC:USDC,170,GRIFFAIN,USDC,USDC,True,True,False,True,1.0,swap
HBAR/USDC:USDC,127,HBAR,USDC,USDC,True,True,False,True,1.0,swap
HEMI/USDC:USDC,211,HEMI,USDC,USDC,True,True,False,True,1.0,swap
HMSTR/USDC:USDC,145,HMSTR,USDC,USDC,True,True,False,True,1.0,swap
HPOS/USDC:USDC,33,HPOS,USDC,USDC,True,True,False,False,1.0,swap
HYPE/USDC:USDC,159,HYPE,USDC,USDC,True,True,False,True,1.0,swap
HYPER/USDC:USDC,191,HYPER,USDC,USDC,True,True,False,True,1.0,swap
ILV/USDC:USDC,83,ILV,USDC,USDC,True,True,False,False,1.0,swap
IMX/USDC:USDC,84,IMX,USDC,USDC,True,True,False,True,1.0,swap
INIT/USDC:USDC,193,INIT,USDC,USDC,True,True,False,True,1.0,swap
INJ/USDC:USDC,13,INJ,USDC,USDC,True,True,False,True,1.0,swap
IO/USDC:USDC,135,IO,USDC,USDC,True,True,False,True,1.0,swap
IOTA/USDC:USDC,157,IOTA,USDC,USDC,True,True,False,True,1.0,swap
IP/USDC:USDC,183,IP,USDC,USDC,True,True,False,True,1.0,swap
JELLY/USDC:USDC,179,JELLY,USDC,USDC,True,True,False,False,1.0,swap
JTO/USDC:USDC,94,JTO,USDC,USDC,True,True,False,True,1.0,swap
JUP/USDC:USDC,90,JUP,USDC,USDC,True,True,False,True,1.0,swap
KAITO/USDC:USDC,185,KAITO,USDC,USDC,True,True,False,True,1.0,swap
KAS/USDC:USDC,60,KAS,USDC,USDC,True,True,False,True,1.0,swap
KBONK/USDC:USDC,85,KBONK,USDC,USDC,True,True,False,True,1.0,swap
KDOGS/USDC:USDC,141,KDOGS,USDC,USDC,True,True,False,False,1.0,swap
KFLOKI/USDC:USDC,119,KFLOKI,USDC,USDC,True,True,False,True,1.0,swap
KLUNC/USDC:USDC,91,KLUNC,USDC,USDC,True,True,False,True,1.0,swap
KNEIRO/USDC:USDC,148,KNEIRO,USDC,USDC,True,True,False,True,1.0,swap
KPEPE/USDC:USDC,15,KPEPE,USDC,USDC,True,True,False,True,1.0,swap
KSHIB/USDC:USDC,38,KSHIB,USDC,USDC,True,True,False,True,1.0,swap
LAUNCHCOIN/USDC:USDC,195,LAUNCHCOIN,USDC,USDC,True,True,False,True,1.0,swap
LAYER/USDC:USDC,182,LAYER,USDC,USDC,True,True,False,True,1.0,swap
LDO/USDC:USDC,17,LDO,USDC,USDC,True,True,False,True,1.0,swap
LINEA/USDC:USDC,205,LINEA,USDC,USDC,True,True,False,True,1.0,swap
LINK/USDC:USDC,18,LINK,USDC,USDC,True,True,False,True,1.0,swap
LISTA/USDC:USDC,138,LISTA,USDC,USDC,True,True,False,False,1.0,swap
LOOM/USDC:USDC,52,LOOM,USDC,USDC,True,True,False,False,1.0,swap
LTC/USDC:USDC,10,LTC,USDC,USDC,True,True,False,True,1.0,swap
MANTA/USDC:USDC,104,MANTA,USDC,USDC,True,True,False,True,1.0,swap
MATIC/USDC:USDC,3,MATIC,USDC,USDC,True,True,False,False,1.0,swap
MAV/USDC:USDC,97,MAV,USDC,USDC,True,True,False,True,1.0,swap
MAVIA/USDC:USDC,110,MAVIA,USDC,USDC,True,True,False,True,1.0,swap
ME/USDC:USDC,160,ME,USDC,USDC,True,True,False,True,1.0,swap
MELANIA/USDC:USDC,175,MELANIA,USDC,USDC,True,True,False,True,1.0,swap
MEME/USDC:USDC,75,MEME,USDC,USDC,True,True,False,True,1.0,swap
MERL/USDC:USDC,126,MERL,USDC,USDC,True,True,False,True,1.0,swap
MEW/USDC:USDC,139,MEW,USDC,USDC,True,True,False,True,1.0,swap
MINA/USDC:USDC,67,MINA,USDC,USDC,True,True,False,True,1.0,swap
MKR/USDC:USDC,30,MKR,USDC,USDC,True,True,False,False,1.0,swap
MNT/USDC:USDC,123,MNT,USDC,USDC,True,True,False,True,1.0,swap
MOODENG/USDC:USDC,150,MOODENG,USDC,USDC,True,True,False,True,1.0,swap
MORPHO/USDC:USDC,173,MORPHO,USDC,USDC,True,True,False,True,1.0,swap
MOVE/USDC:USDC,161,MOVE,USDC,USDC,True,True,False,True,1.0,swap
MYRO/USDC:USDC,118,MYRO,USDC,USDC,True,True,False,False,1.0,swap
NEAR/USDC:USDC,74,NEAR,USDC,USDC,True,True,False,True,1.0,swap
NEIROETH/USDC:USDC,147,NEIROETH,USDC,USDC,True,True,False,False,1.0,swap
NEO/USDC:USDC,78,NEO,USDC,USDC,True,True,False,True,1.0,swap
NFTI/USDC:USDC,89,NFTI,USDC,USDC,True,True,False,False,1.0,swap
NIL/USDC:USDC,186,NIL,USDC,USDC,True,True,False,True,1.0,swap
NOT/USDC:USDC,132,NOT,USDC,USDC,True,True,False,True,1.0,swap
NTRN/USDC:USDC,95,NTRN,USDC,USDC,True,True,False,False,1.0,swap
NXPC/USDC:USDC,196,NXPC,USDC,USDC,True,True,False,True,1.0,swap
OGN/USDC:USDC,53,OGN,USDC,USDC,True,True,False,False,1.0,swap
OM/USDC:USDC,184,OM,USDC,USDC,True,True,False,True,1.0,swap
OMNI/USDC:USDC,129,OMNI,USDC,USDC,True,True,False,False,1.0,swap
ONDO/USDC:USDC,106,ONDO,USDC,USDC,True,True,False,True,1.0,swap
OP/USDC:USDC,9,OP,USDC,USDC,True,True,False,True,1.0,swap
ORBS/USDC:USDC,61,ORBS,USDC,USDC,True,True,False,False,1.0,swap
ORDI/USDC:USDC,76,ORDI,USDC,USDC,True,True,False,True,1.0,swap
OX/USDC:USDC,42,OX,USDC,USDC,True,True,False,False,1.0,swap
PANDORA/USDC:USDC,112,PANDORA,USDC,USDC,True,True,False,False,1.0,swap
PAXG/USDC:USDC,187,PAXG,USDC,USDC,True,True,False,True,1.0,swap
PENDLE/USDC:USDC,70,PENDLE,USDC,USDC,True,True,False,True,1.0,swap
PENGU/USDC:USDC,163,PENGU,USDC,USDC,True,True,False,True,1.0,swap
PEOPLE/USDC:USDC,100,PEOPLE,USDC,USDC,True,True,False,True,1.0,swap
PIXEL/USDC:USDC,114,PIXEL,USDC,USDC,True,True,False,False,1.0,swap
PNUT/USDC:USDC,153,PNUT,USDC,USDC,True,True,False,True,1.0,swap
POL/USDC:USDC,142,POL,USDC,USDC,True,True,False,True,1.0,swap
POLYX/USDC:USDC,68,POLYX,USDC,USDC,True,True,False,True,1.0,swap
POPCAT/USDC:USDC,128,POPCAT,USDC,USDC,True,True,False,True,1.0,swap
PROMPT/USDC:USDC,188,PROMPT,USDC,USDC,True,True,False,True,1.0,swap
PROVE/USDC:USDC,201,PROVE,USDC,USDC,True,True,False,True,1.0,swap
PUMP/USDC:USDC,200,PUMP,USDC,USDC,True,True,False,True,1.0,swap
PURR/USDC:USDC,152,PURR,USDC,USDC,True,True,False,True,1.0,swap
PYTH/USDC:USDC,81,PYTH,USDC,USDC,True,True,False,True,1.0,swap
RDNT/USDC:USDC,54,RDNT,USDC,USDC,True,True,False,False,1.0,swap
RENDER/USDC:USDC,140,RENDER,USDC,USDC,True,True,False,True,1.0,swap
REQ/USDC:USDC,58,REQ,USDC,USDC,True,True,False,False,1.0,swap
RESOLV/USDC:USDC,198,RESOLV,USDC,USDC,True,True,False,True,1.0,swap
REZ/USDC:USDC,131,REZ,USDC,USDC,True,True,False,True,1.0,swap
RLB/USDC:USDC,34,RLB,USDC,USDC,True,True,False,False,1.0,swap
RNDR/USDC:USDC,20,RNDR,USDC,USDC,True,True,False,False,1.0,swap
RSR/USDC:USDC,92,RSR,USDC,USDC,True,True,False,True,1.0,swap
RUNE/USDC:USDC,41,RUNE,USDC,USDC,True,True,False,True,1.0,swap
S/USDC:USDC,172,S,USDC,USDC,True,True,False,True,1.0,swap
SAGA/USDC:USDC,125,SAGA,USDC,USDC,True,True,False,True,1.0,swap
SAND/USDC:USDC,156,SAND,USDC,USDC,True,True,False,True,1.0,swap
SCR/USDC:USDC,146,SCR,USDC,USDC,True,True,False,True,1.0,swap
SEI/USDC:USDC,40,SEI,USDC,USDC,True,True,False,True,1.0,swap
SHIA/USDC:USDC,44,SHIA,USDC,USDC,True,True,False,False,1.0,swap
SKY/USDC:USDC,206,SKY,USDC,USDC,True,True,False,True,1.0,swap
SNX/USDC:USDC,24,SNX,USDC,USDC,True,True,False,True,1.0,swap
SOL/USDC:USDC,5,SOL,USDC,USDC,True,True,False,True,1.0,swap
SOPH/USDC:USDC,197,SOPH,USDC,USDC,True,True,False,True,1.0,swap
SPX/USDC:USDC,171,SPX,USDC,USDC,True,True,False,True,1.0,swap
STBL/USDC:USDC,209,STBL,USDC,USDC,True,True,False,True,1.0,swap
STG/USDC:USDC,71,STG,USDC,USDC,True,True,False,False,1.0,swap
STRAX/USDC:USDC,73,STRAX,USDC,USDC,True,True,False,False,1.0,swap
STRK/USDC:USDC,113,STRK,USDC,USDC,True,True,False,True,1.0,swap
STX/USDC:USDC,19,STX,USDC,USDC,True,True,False,True,1.0,swap
SUI/USDC:USDC,14,SUI,USDC,USDC,True,True,False,True,1.0,swap
SUPER/USDC:USDC,87,SUPER,USDC,USDC,True,True,False,True,1.0,swap
SUSHI/USDC:USDC,82,SUSHI,USDC,USDC,True,True,False,True,1.0,swap
SYRUP/USDC:USDC,199,SYRUP,USDC,USDC,True,True,False,True,1.0,swap
TAO/USDC:USDC,116,TAO,USDC,USDC,True,True,False,True,1.0,swap
TIA/USDC:USDC,63,TIA,USDC,USDC,True,True,False,True,1.0,swap
TNSR/USDC:USDC,124,TNSR,USDC,USDC,True,True,False,True,1.0,swap
TON/USDC:USDC,66,TON,USDC,USDC,True,True,False,True,1.0,swap
TRB/USDC:USDC,50,TRB,USDC,USDC,True,True,False,True,1.0,swap
TRUMP/USDC:USDC,174,TRUMP,USDC,USDC,True,True,False,True,1.0,swap
TRX/USDC:USDC,37,TRX,USDC,USDC,True,True,False,True,1.0,swap
TST/USDC:USDC,181,TST,USDC,USDC,True,True,False,True,1.0,swap
TURBO/USDC:USDC,133,TURBO,USDC,USDC,True,True,False,True,1.0,swap
UMA/USDC:USDC,105,UMA,USDC,USDC,True,True,False,True,1.0,swap
UNI/USDC:USDC,39,UNI,USDC,USDC,True,True,False,True,1.0,swap
UNIBOT/USDC:USDC,35,UNIBOT,USDC,USDC,True,True,False,False,1.0,swap
USTC/USDC:USDC,88,USTC,USDC,USDC,True,True,False,True,1.0,swap
USUAL/USDC:USDC,164,USUAL,USDC,USDC,True,True,False,True,1.0,swap
VINE/USDC:USDC,177,VINE,USDC,USDC,True,True,False,True,1.0,swap
VIRTUAL/USDC:USDC,162,VIRTUAL,USDC,USDC,True,True,False,True,1.0,swap
VVV/USDC:USDC,178,VVV,USDC,USDC,True,True,False,True,1.0,swap
W/USDC:USDC,111,W,USDC,USDC,True,True,False,True,1.0,swap
WCT/USDC:USDC,190,WCT,USDC,USDC,True,True,False,True,1.0,swap
WIF/USDC:USDC,98,WIF,USDC,USDC,True,True,False,True,1.0,swap
WLD/USDC:USDC,31,WLD,USDC,USDC,True,True,False,True,1.0,swap
WLFI/USDC:USDC,204,WLFI,USDC,USDC,True,True,False,True,1.0,swap
XAI/USDC:USDC,103,XAI,USDC,USDC,True,True,False,True,1.0,swap
XLM/USDC:USDC,154,XLM,USDC,USDC,True,True,False,True,1.0,swap
XPL/USDC:USDC,203,XPL,USDC,USDC,True,True,False,True,1.0,swap
XRP/USDC:USDC,25,XRP,USDC,USDC,True,True,False,True,1.0,swap
YGG/USDC:USDC,36,YGG,USDC,USDC,True,True,False,True,1.0,swap
YZY/USDC:USDC,202,YZY,USDC,USDC,True,True,False,True,1.0,swap
