symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
BTC,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,1947252730094.688,1.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
ETH,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,437815296057.8424,2.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
BNB,2025-10-22,2025-10-24,2,3,3,0,100.0,False,10,102137951637.67424,6.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
USDT,2021-05-04,2021-10-28,177,178,178,0,100.0,False,1467,21340101768.041767,3.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
LINK,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,15081641043.558289,13.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
XLM,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,13373293388.155737,16.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
XRP,2020-01-01,2021-01-19,384,385,385,0,100.0,False,1749,10254417776.80276,5.0,1,1748,"[{'start': Timestamp('2021-01-20 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1748}]"
BCH,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,9329609963.767485,19.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
DOT,2021-06-16,2021-10-28,134,135,135,0,100.0,False,1467,8995148461.427736,6.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
PEPE,2024-12-29,2025-10-24,299,300,300,0,100.0,False,10,8714215845.94732,22.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
