date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2021-01-31,10015.373966699985,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.056294440728613414,,
2021-02-01,10334.578189060854,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.02205014725627344,0.03187142321616632,0.031374069390588254
2021-02-02,10473.744088810192,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.04901281656702459,0.013466045464404663,0.013376184093553789
2021-02-03,10379.674282980941,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.10895201596125222,-0.008981487902664398,-0.009022064607312799
2021-02-04,10224.990545848403,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.06754863107769651,-0.01490256176787419,-0.015014720639440917
2021-02-05,10390.219980197617,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.09898290226045309,0.016159372823704166,0.016030199870030636
2021-02-06,10205.665586708441,5,4,0.5,0.5,-1.3877787807814457e-17,1.0,0.024253173484108992,-0.017762318203167204,-0.01792196142461441
2021-02-07,9934.760155282502,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.0918601955321445,-0.026544611826078146,-0.026903281440868884
2021-02-08,9991.426729513714,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.11925101328955144,0.0057038693783746375,0.0056876639088177475
2021-02-09,10166.907220902804,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.027140181746018316,0.017563106465139366,0.017410657507344416
2021-02-10,10555.045218628464,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.07199668670915346,0.03817660467360828,0.03746590964890648
2021-02-11,10510.86244300331,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.12388799411015891,-0.004185939018733542,-0.004194724587275377
2021-02-12,10837.939973698858,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.10975461353578281,0.03111804882512481,0.030643697825690035
2021-02-13,10949.20348658819,5,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.007655343664385333,0.010266112670797467,0.010213774040842736
2021-02-14,11132.785486701876,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.16107591521113682,0.01676669908807127,0.016627689656625408
2021-02-15,11237.195721111857,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.017587463236642988,0.009378626268753631,0.009334920010669871
2021-02-16,11410.242842957376,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.021099561218101255,0.015399493444828716,0.015282124658498208
2021-02-17,11180.349885100075,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.11923486661711907,-0.02014794610608972,-0.020353684128321874
2021-02-18,11476.481979438451,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.15358690329014837,0.026486836045536366,0.026142133279216148
2021-02-19,11458.925175447865,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.19888300747426096,-0.0015298071327121132,-0.001530978482422276
2021-02-20,11445.25128531272,5,3,0.5,0.5,2.7755575615628914e-17,1.0,0.19113434330135493,-0.0011932960487816002,-0.0011940085934191572
2021-02-21,11307.347478655567,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.0859705090158481,-0.012048997721362364,-0.012122175299421565
2021-02-22,11186.916839988793,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.14582108456195644,-0.010650653382157538,-0.010707777559489618
2021-02-23,11348.54876921804,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.055343014279592415,0.014448299879326498,0.014344917801654582
2021-02-24,11118.352455996946,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.0056163878198823,-0.02028420707372569,-0.0204927565958322
2021-02-25,11114.319571412778,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.03918857576392247,-0.0003627232182222828,-0.0003627890182007359
2021-02-26,11181.408710517442,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.011895348270496299,0.006036279474743944,0.0060181341234565875
2021-02-27,11118.439425933504,5,3,0.49999999999999994,0.49999999999999994,1.3877787807814457e-17,0.9999999999999999,0.005562997661581963,-0.005631605660269656,-0.00564752293944895
2021-02-28,11243.185428705483,6,2,0.5,0.5,0.0,1.0,0.028095176230795472,0.011219740288462843,0.011157265865938409
2021-03-01,11220.670233366118,6,2,0.5,0.5,0.0,1.0,0.015240227521023626,-0.0020025637291261056,-0.0020045715408324467
2021-03-02,11257.38810015575,6,2,0.5,0.5,0.0,1.0,0.034396793174944096,0.003272341671751944,0.0032669992134701457
