rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
1,BTC,Bitcoin,110098.64021978149,2195751460532.7307,19943493.0,19943493.0,21000000.0,21000000.0,94.96901428571428,5.297502298117988,1056507.0,32162742821.285286,59.3933,2025-11-02T17:04:02.596908
2,ETH,Ethereum,3862.5600752044415,466202913155.2795,120697906.07220621,120697906.07220621,,120697906.07220621,100.0,0.0,0.0,19486669728.727966,12.6062,2025-11-02T17:04:02.596919
3,USDT,Tether USDt,0.9998959705843624,183434496357.14032,183453580925.96066,185961235413.1701,,185961235413.1701,98.65151762320899,1.3669149844621986,2507654487.209442,84589811290.70517,4.9618,2025-11-02T17:04:02.596922
4,XRP,XRP,2.5035259419117524,150479932585.4878,60107199237.0,99985774127.0,100000000000.0,100000000000.0,60.107199236999996,66.36942208154547,39892800763.0,2243306294.708091,4.0704,2025-11-02T17:04:02.596925
5,BNB,BNB,1078.880486784551,148602650713.65286,137737824.1,137737824.1,137737824.1,137737824.1,100.0,0.0,0.0,2000940203.420157,4.0182,2025-11-02T17:04:02.596927
6,SOL,Solana,184.12326406530423,101727136931.9377,552494750.9938638,613125817.951016,,613125817.951016,90.1111541575964,10.974053029116563,60631066.95715213,3088797075.0002246,2.7516,2025-11-02T17:04:02.596929
7,USDC,USDC,0.9999956823129457,75847617359.39659,75847944847.08615,75847944847.08615,,75847944847.08615,100.0,0.0,0.0,8758533380.762913,2.0516,2025-11-02T17:04:02.596931
8,TRX,TRON,0.29598048110478675,28019601836.499752,94667059570.66101,94667059345.84851,,94667059345.84851,100.00000023747701,-2.3747700733452733e-07,-224.8125,424067114.33194923,0.7579,2025-11-02T17:04:02.596933
9,DOGE,Dogecoin,0.18371906453486772,27853253550.950897,151607856383.70523,151607856383.70523,,151607856383.70523,100.0,0.0,0.0,907152450.8833051,0.7534,2025-11-02T17:04:02.596935
10,ADA,Cardano,0.60066697077238,21540253215.198875,35860558784.3475,44994575840.545494,45000000000.0,45000000000.0,79.69013063188333,25.48605355151828,9139441215.652496,542489116.3887299,0.5825,2025-11-02T17:04:02.596937
11,HYPE,Hyperliquid,41.72801169820049,14049204757.043194,336685219.0,999533278.0,999533278.0,999533278.0,33.68424307729752,196.87471311296264,662848059.0,384709974.7768199,0.38,2025-11-02T17:04:02.596939
12,LINK,Chainlink,17.241626086482395,12014826628.919804,696849970.4525867,1000000000.0,1000000000.0,1000000000.0,69.68499704525867,43.50291201856907,303150029.54741335,503270212.22850317,0.325,2025-11-02T17:04:02.596941
13,BCH,Bitcoin Cash,533.371668994687,10639473036.933159,19947578.125,19947578.125,21000000.0,21000000.0,94.98846726190476,5.275938103388177,1052421.875,417633851.05661416,0.2877,2025-11-02T17:04:02.596943
14,XLM,Stellar,0.3035882079188585,9729579050.942339,32048606622.898907,50001786884.67246,50001806812.0,50001806812.0,64.09489709721353,56.01866065613421,17953200189.101093,112433871.85637261,0.2632,2025-11-02T17:04:02.596944
15,USDe,Ethena USDe,0.999260947357138,9273066808.244795,9279925161.460934,9279925161.460934,,9279925161.460934,100.0,0.0,0.0,153807607.51557603,0.2508,2025-11-02T17:04:02.596945
16,LEO,UNUS SED LEO,9.616576006093556,8869854302.0076,922350563.9,985239504.0,,985239504.0,93.61688809221762,6.818333783424493,62888940.100000024,581576.74598539,0.2398,2025-11-02T17:04:02.596947
17,SUI,Sui,2.321767660832849,8547182448.924445,3681325480.198332,10000000000.0,10000000000.0,10000000000.0,36.81325480198332,171.64128936138644,6318674519.801668,587648445.7667695,0.2312,2025-11-02T17:04:02.596950
18,HBAR,Hedera,0.1938268641278617,8232840620.301753,42475229929.27749,50000000000.0,50000000000.0,50000000000.0,84.95045985855498,17.715666479619944,7524770070.722511,262672357.31455734,0.2227,2025-11-02T17:04:02.596951
19,AVAX,Avalanche,18.30352396116885,7811073664.405916,426752448.379733,460088348.379733,715748719.0,715748719.0,59.62322209615202,67.7198857833177,288996270.620267,254917598.86968055,0.2113,2025-11-02T17:04:02.596953
20,LTC,Litecoin,98.3532674633593,7521726148.400919,76476626.98347135,84000000.0,84000000.0,84000000.0,91.0436035517516,9.83748017306602,7523373.016528651,764240772.2957337,0.2035,2025-11-02T17:04:02.596954
21,XMR,Monero,348.9305513320226,6436632579.920195,18446744.07370955,18446744.07370955,,18446744.07370955,100.0,0.0,0.0,146274974.46751568,0.174,2025-11-02T17:04:02.596955
22,ZEC,Zcash,391.48480385186645,6375815047.33669,16286238.9155448,16286238.9155448,21000000.0,21000000.0,77.55351864545143,28.94321462984332,4713761.0844552,895331600.4624697,0.1725,2025-11-02T17:04:02.596957
23,SHIB,Shiba Inu,1.0056529896769425e-05,5925764322.120913,589245433857310.4,589500819659593.2,589552695333683.0,589552695333683.0,99.94788227094803,0.052144905792690516,307261476372.625,112877997.40177469,0.1602,2025-11-02T17:04:02.596958
24,TON,Toncoin,2.2841526564817602,5758998694.350901,2521284502.5959797,5144716861.506517,,5144716861.506517,49.00725482991258,104.05142125806842,2623432358.9105377,134681204.1167753,0.1558,2025-11-02T17:04:02.596960
25,DAI,Dai,0.999924043033553,5364975164.47095,5365382702.664872,5365382702.664872,,5365382702.664872,100.0,0.0,0.0,103881239.36258005,0.1451,2025-11-02T17:04:02.596961
26,CRO,Cronos,0.14371574023837244,5187005374.869155,36092117441.45623,98125451395.38123,100000000000.0,100000000000.0,36.09211744145623,177.0688091719931,63907882558.54377,17114895.06368163,0.1403,2025-11-02T17:04:02.596963
27,TAO,Bittensor,482.4850654085856,4932451073.866037,10223012.95417105,21000000.0,21000000.0,21000000.0,48.68101406748119,105.41889259205013,10776987.04582895,464873004.5232267,0.1334,2025-11-02T17:04:02.596965
28,DOT,Polkadot,2.9161246486096233,4752524151.015834,1629739714.0694196,1629739714.0694196,,1629739714.0694196,100.0,0.0,0.0,154904700.18351716,0.1286,2025-11-02T17:04:02.596967
29,MNT,Mantle,1.4011039292728076,4557712698.197511,3252944055.7368407,6219316794.89,6219316795.0,6219316795.0,52.30388100429351,91.19040132373968,2966372739.2631593,93020340.1339825,0.1233,2025-11-02T17:04:02.596969
30,UNI,Uniswap,5.795558375449981,3653117369.1714973,630330527.71,1000000000.0,,1000000000.0,63.03305277100001,58.64692507167859,369669472.28999996,155116169.4655914,0.0988,2025-11-02T17:04:02.596971
31,AAVE,Aave,230.02090167985492,3510563829.067544,15261934.03916648,16000000.0,,16000000.0,95.3870877447905,4.835992338450891,738065.9608335197,264567259.70239714,0.095,2025-11-02T17:04:02.596972
