symbol,name,max_supply,start_date,end_date,years_elapsed,circ_supply_start,circ_supply_end,circ_pct_start,circ_pct_end,tokens_unlocked,dilution_velocity_tokens_per_year,dilution_velocity_pct_per_year,price_start,price_end,price_return_pct,market_cap_start,market_cap_end,rank_start,rank_end
BTC,Bitcoin,21000000.0,2021-01-01,2025-10-01,4.747433264887063,18587825.0,19928203.0,88.51345238095239,94.89620476190476,1340378.0,282337.40743944637,1.344463844949742,29374.15188907,118648.92858787,303.92290826282135,546001594837.51166,2364459934631.606,1,1
XRP,XRP,100000000000.0,2021-01-01,2025-10-01,4.747433264887063,45404028640.0,59871700035.0,45.40402864,59.871700034999996,14467671395.0,3047472305.088668,3.047472305088667,0.23744438,2.94727812,1141.2498960809264,10780931627.255676,176458551344.36075,4,3
LTC,Litecoin,84000000.0,2021-01-01,2025-10-01,4.747433264887063,66219492.91134237,76360795.73347135,78.83272965635996,90.9057092065135,10141302.822128981,2136165.430093778,2.5430540834449733,126.23034575,115.12530965,-8.79743775874114,8358909485.907864,8791060254.089256,5,19
BCH,Bitcoin Cash,21000000.0,2021-01-01,2025-10-01,4.747433264887063,18600862.5,19933209.375,88.5755357142857,94.92004464285714,1332346.875,280645.73015787196,1.3364082388470095,341.98564658,593.06538113,73.41820835491278,6361227988.967737,11821696415.090675,7,17
ADA,Cardano,45000000000.0,2021-01-01,2025-10-01,4.747433264887063,31112484646.0,35818890118.10661,69.13885476888889,79.59753359579247,4706405472.106613,991357900.0501387,2.2030175556669738,0.17534993,0.85004022,384.7679266253486,5455571952.5957365,30447497316.168934,8,10
BNB,BNB,137737824.1,2021-01-01,2025-10-01,4.747433264887063,144406560.9,139185354.17000002,104.84161619625876,101.05093141949817,-5221206.729999989,-1099795.7082655688,-0.7984703660391026,37.90501081,1026.16674618,2607.2060507347996,5473732252.439035,142827382004.49805,9,5
LINK,Chainlink,1000000000.0,2021-01-01,2025-10-01,4.747433264887063,399009556.4344444,678099970.4525867,39.90095564344444,67.80999704525867,279090414.0181422,58787643.43721249,5.87876434372125,11.8725549,22.58231343,90.20601395576615,4737262863.865625,15313066068.441648,10,12
XLM,Stellar,50001806812.0,2021-01-01,2025-10-01,4.747433264887063,21914610149.561,31924575684.57129,43.82763653312961,63.84684418425789,10009965535.010288,2108500525.756925,4.216848670458249,0.13240799,0.39800766,200.59187515798703,2901669479.1338143,12706225616.810026,14,15
THETA,Theta Network,1000000000.0,2021-01-01,2025-10-01,4.747433264887063,1000000000.0,1000000000.0,100.0,100.0,0.0,0.0,0.0,1.97147731,0.72897069,-63.02414000392426,1971477307.82419,728970692.4439241,18,100
CRO,Cronos,100000000000.0,2021-01-01,2025-10-01,4.747433264887063,22472146117.38813,34844536782.07378,22.47214611738813,34.844536782073774,12372390664.685646,2606122082.050999,2.6061220820509985,0.05958685,0.20329166,241.16866389144587,1339044330.8424785,7083603763.933589,21,22
VET,VeChain,86712634466.0,2021-01-01,2025-10-01,4.747433264887063,64315576989.0,85985041177.0,74.17094104575743,99.1609143310191,21669464188.0,4564458935.794118,5.26389143162735,0.01908011,0.0231763,21.46837727874734,1227148151.4249742,1992815282.2999349,26,54
SNX,Synthetix,339889850.089,2021-01-01,2025-10-01,4.747433264887063,110519344.85591938,343466216.99839866,32.516223955196054,101.05221350636455,232946872.1424793,49067961.38987345,14.436430325008244,8.35959683,1.27140176,-84.79111151105597,923897164.4040362,436683553.65441567,34,132
DASH,Dash,18900000.0,2021-01-01,2025-10-01,4.747433264887063,9899668.66283878,12432200.37782845,52.37919927427925,65.7788379779283,2532531.7149896715,533452.8309688452,2.8225017511579105,88.24170498,31.22728526,-64.6116478970146,873563641.5371596,388223867.6484031,35,149
ETC,Ethereum Classic,210700000.0,2021-01-01,2025-10-01,4.747433264887063,116313299.0,153744417.932519,55.20327432368296,72.96839958828618,37431118.93251899,7884496.072723507,3.7420484445768882,5.70434815,19.53817597,242.51373612250507,663491552.3607522,3003885491.4385867,39,39
