date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2021-02-02,1.011167670344303,0.011167670344303148,5,1,4,
2021-02-03,0.9827860211118313,-0.028068192906926824,5,1,4,
2021-02-04,0.9538913815032369,-0.029400743384511874,5,1,4,
2021-02-05,0.934817569591151,-0.019995790172700204,5,1,4,
2021-02-06,0.9834952458738457,0.05207184574417463,5,1,4,
2021-02-07,0.9282689866411707,-0.056153051541805686,5,1,4,
2021-02-08,0.8886859723470887,-0.0426417502509789,5,1,4,
2021-02-09,0.9217381422676372,0.03719218143306019,5,1,4,
2021-02-10,0.965228619893617,0.047183115932455055,5,1,4,
2021-02-11,0.9531862604709936,-0.012476173182629578,5,1,4,
2021-02-12,0.8728180112931517,-0.08431536679738735,5,1,4,
2021-02-13,1.0003350406739,0.1460980728294336,5,1,4,
2021-02-14,1.0544093837872897,0.054056232076966124,5,1,4,
2021-02-15,0.9951276738373677,-0.05622266916573758,5,1,4,
2021-02-16,0.9986588996951665,0.0035485153821338024,5,1,4,
2021-02-17,1.0193187284613618,0.020687572876486152,5,1,4,
2021-02-18,1.0008665536495078,-0.01810245833480091,5,1,4,
2021-02-19,1.0186944786528576,0.01781248952554449,5,1,4,
2021-02-20,1.0400003829971916,0.020914910987354554,5,1,4,
2021-02-21,1.0809208289047372,0.039346568113385126,5,1,4,
2021-02-22,1.0653667045419632,-0.014389698067465654,5,1,4,
2021-02-23,1.0135172650794222,-0.048668162090566694,5,1,4,
2021-02-24,1.0120379523511778,-0.0014595831558215713,5,1,4,
2021-02-25,1.0036631642765175,-0.008275171949039943,5,1,4,
2021-02-26,0.9785829176766995,-0.024988708854226927,5,1,4,
2021-02-27,0.9434294868329036,-0.03592279224253717,5,1,4,
2021-02-28,0.9378478141505567,-0.005916364455688813,5,1,4,
2021-03-01,0.9260069358548613,-0.012625586067415553,5,1,4,
2021-03-02,0.9199418093444794,-0.00654976358765897,3,1,2,
2021-03-03,0.8847184414620395,-0.03828869122443629,3,1,2,-9.438154218703962
2021-03-04,0.9126436855041165,0.031563990003338364,3,1,2,-7.398522252800441
2021-03-05,0.9287826188854987,0.017683717794494715,3,1,2,-2.8233311826582876
2021-03-06,0.9267824788969936,-0.002153507126247945,3,1,2,-0.09860755683189469
2021-03-07,0.9182178011956192,-0.009241302998701066,3,1,2,0.9768411605680192
2021-03-08,0.9176831755060433,-0.0005822427847508027,3,1,2,-4.288567692324524
2021-03-09,0.932501516750163,0.01614755684710949,3,1,2,2.9414931465669936
2021-03-10,0.9161514509952836,-0.01753355405990171,3,1,2,5.452312765674713
2021-03-11,0.9076535885680364,-0.009275608763174905,3,1,2,0.8055337460512039
2021-03-12,0.9175746575226911,0.010930457478063609,3,1,2,-2.8197320993879407
2021-03-13,0.9857793263241038,0.07433146528431236,3,1,2,5.861031747306254
2021-03-14,0.9660718827122217,-0.019991739617191723,3,1,2,12.293394465325816
2021-03-15,0.9155305639349273,-0.05231631277312511,3,1,2,-7.548044094930055
2021-03-16,0.9200336769508071,0.004918582943343341,3,1,2,-12.461809008292333
2021-03-17,0.8735383618726146,-0.05053653604538492,3,1,2,-11.893195696257067
2021-03-18,0.8662006354388084,-0.008400004801250171,3,1,2,-13.088047714595463
2021-03-19,0.851596871435819,-0.01685956279123647,3,1,2,-16.84276128136773
2021-03-20,0.8580015700830935,0.007520810446938333,3,1,2,-14.280434403193803
2021-03-21,0.8622608221612016,0.004964154177125155,3,1,2,-15.565267938035737
2021-03-22,0.893004955034911,0.035655258923455564,3,1,2,-14.091233144425633
2021-03-23,0.9451894186862834,0.05843692507768048,3,1,2,-12.1821974479961
2021-03-24,0.9360040923811229,-0.00971797411562978,3,1,2,-11.71502505281251
2021-03-25,0.9295089390605422,-0.006939236028399717,3,1,2,-7.542132446595814
2021-03-26,0.9155181363041273,-0.015051821632350845,3,1,2,-8.901356294248743
2021-03-27,0.8985280214887836,-0.018557922712412158,3,1,2,-9.929631370585962
2021-03-28,0.8391259682798616,-0.06611040700822879,3,1,2,-14.041801185986147
2021-03-29,0.8274505684343991,-0.013913762994841046,3,1,2,-11.840898261216537
2021-03-30,0.8548367241144414,0.033097029266484175,3,1,2,-7.939558888999236
2021-03-31,0.9024242400022223,0.055668544115343895,3,1,2,-1.1101458707232912
2021-04-01,0.9089145419072976,0.007192073990675587,3,1,2,0.26403788711016374
2021-04-02,0.9466029183742115,0.04146525853555751,3,1,2,8.239432863109544
