coin_symbol,avg_oi_mcap,median_oi_mcap,std_oi_mcap,max_oi_mcap,coin_name,avg_oi
ENA,8.983996140726912,7.960093339142348,3.457295899275194,22.28237642346368,Ethena,161556414.16866952
OM,5.122525284061202,3.0907267182854437,4.460631135182632,21.801380101019078,MANTRA,57579461.43136809
SUI,4.0616426610857586,3.0541041138906952,2.743538322217391,15.310987542085888,Sui,135720260.15698394
ARB,3.7697780358497206,3.243109280142663,2.1544060234145035,15.576826477292116,Arbitrum,72822365.7579725
FET,3.420674034888183,2.7383569159381946,2.303171150173209,16.211714848525588,Artificial Superintelligence Alliance,31662890.31442857
VIRTUAL,3.2012139117267795,3.244101660176782,1.4206444752547593,10.727459162666108,Virtuals Protocol,32212436.269146334
PEPE,2.151125103080002,1.7437113493249115,1.3341872382198405,11.98461210372287,Pepe,46719862.287490904
TAO,1.5105737648794149,1.4863042681852787,0.6714937663030409,3.5144725846141944,Bittensor,46854235.72323692
HYPE,1.0355820352548402,0.9716448076073694,0.3795479912995235,1.8524612160501985,Hyperliquid,140880665.12399346
MNT,0.9409247234411727,0.6522822148296868,1.060817220366468,6.267223720519738,Mantle,30139278.275386244
POL,0.877976651965449,0.7609241711548933,0.28328703810878647,1.9811869316840556,POL (ex-MATIC),23720746.893615846
RENDER,0.8765606071836892,0.8144277247059694,0.32611584017964773,2.521472856270225,Render,21115750.016045917
FIL,0.7846626311708448,0.7422919900168126,0.24363695602095697,1.4501733810300177,Filecoin,21631403.548601866
ICP,0.5852271796984626,0.5345424146148341,0.27543600172583443,2.379809078951842,Internet Computer,22870305.58042976
VET,0.5850233493128955,0.5248382481917915,0.23373123507726432,1.8405209965182272,VeChain,14793670.101982933
TON,0.5587696626815655,0.5256049931149929,0.2532061402765922,1.7110455158896027,Toncoin,64367561.158184275
OP,0.5523802396429591,0.5006912763750039,0.28176953158574497,2.633605580888031,Optimism,7327359.087837838
HBAR,0.4888160400998211,0.42792456724034433,0.3183976884997215,3.711259153042157,Hedera,19636907.09620131
XMR,0.4036537805831224,0.3707779073287535,0.20908238487189013,1.5330416462738685,Monero,13223353.572044913
KAS,0.37298084445581076,0.3461855491580512,0.1403612371756085,0.874844755799262,Kaspa,10804466.275887704
LTC,0.2969399191790207,0.28140534183554433,0.09887892658269666,0.5861222287358693,Litecoin,20017486.298268974
ETC,0.29391023036925223,0.2710821970993259,0.13797223280016446,0.621061683654897,Ethereum Classic,10363018.641810918
DOGE,0.2633320954516252,0.2733400831862795,0.10235544143921241,0.774127717988496,Dogecoin,57742339.58721704
SHIB,0.22298263051391437,0.17960341963772114,0.25158565517060116,5.096815230934763,Shiba Inu,18007847.08278289
CRO,0.19522927408778823,0.17409619549899688,0.10039844713812764,1.0009640594955895,Cronos,6242560.982423972
DOT,0.16723841928790106,0.1606839972669018,0.053498021606941476,0.36519796542186944,Polkadot,17942890.532623168
ETH,0.1631096567943646,0.13161011694578312,0.07132122249340597,0.38192853697548745,Ethereum,527431427.33022636
APT,0.14731528134431587,0.13582496537145128,0.09699630578849046,1.4634287804522494,Aptos,4235860.860805861
LINK,0.14726750320452742,0.1452798030393242,0.04247365209707824,0.28707435293007794,Chainlink,10824222.796271637
UNI,0.1400796907520695,0.11887917963413758,0.08984472747035095,0.5282624534373418,Uniswap,7384259.287616511
ADA,0.1332824294736097,0.12413346727952052,0.04413552868583909,0.38010081206821417,Cardano,30358264.221038613
BCH,0.12759506841487497,0.12895197569558325,0.039698493479752454,0.2739265159327362,Bitcoin Cash,7470669.587217044
AAVE,0.12024527564464406,0.13117189942534382,0.05417639802872801,0.2574762237214874,Aave,2464834.4031451037
NEAR,0.1160402350523027,0.11573906428230087,0.04943653911580589,0.2918585967986158,NEAR Protocol,4378816.461429583
SOL,0.11597284517225434,0.07694757361413931,0.07591776727269801,0.30860296672982673,Solana,73309865.7723036
ATOM,0.1155066912838312,0.09766508508258821,0.06444529884156336,0.30054020451143554,Cosmos,3313810.306049822
BTC,0.10777352720354529,0.10690799599943986,0.017861627338174486,0.16170113014039625,Bitcoin,1182666311.9174435
BNB,0.10380301587048252,0.09855988781399769,0.032176119385265003,0.22925074115079552,BNB,71307172.39014646
XRP,0.09415156077663465,0.09024380867648973,0.02894643469191822,0.2609100607202326,XRP,53141616.864181094
ALGO,0.09222335774995832,0.09127873490736994,0.055327016917816864,0.2453912573224535,Algorand,1462893.0461073318
AVAX,0.0534928861313473,0.047999515220092506,0.02792407201377381,0.13794262787252537,Avalanche,5375957.649930265
TRX,0.04439153518496597,0.029438173644937095,0.04026372438209561,0.26268908222546433,TRON,4322290.073235686
OKB,0.04368482045232883,0.03666392429365072,0.02289245748878546,0.09334898738403805,OKB,1661608.5056085107
XLM,0.04324172860709177,0.04226261553940871,0.01597287803626311,0.17212608287910247,Stellar,2316279.946737683
USDC,0.022608389979956404,0.011944355800447984,0.022138832074448774,0.21795854545047366,USDC,7782811.817121763
USDT,0.00834596271162018,0.007526453700298067,0.0053041630243303075,0.02442534611342805,Tether USDt,14246003.563801562
DAI,0.0,0.0,0.0,0.0,Dai,0.0
