rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
300,MANTRA,OM,18.89,,18987068.383855,100508672.29146238,26757045.85365573,-4.6292,-10.7248,,4.42,69.95,27.48,26.7
41,Ethena,ENA,10.3,,239878160.7453,2328130134.431913,219744975.6086269,-0.7001,-1.0508,,4.42,99.18,2.02,43.3
75,Virtuals Protocol,VIRTUAL,5.81,,45918504.26694,790492169.9067906,313359399.23991853,-0.3646,-0.3477,,55.93,8.71,1.25,60.0
91,Artificial Superintelligence Alliance,FET,5.06,,28765500.1104,568270978.3370755,97589341.43295912,0.8067,0.8437,,4.3,29.54,0.41,96.7
29,Mantle,MNT,4.06,,161978835.55684,3991342005.022079,117863784.70869105,0.789,0.7019,,8.76,128.01,0.52,93.3
53,Arbitrum,ARB,2.67,,39616181.4608,1482515656.9301028,194726990.0575333,0.6635,0.5765,,2.39,18.76,0.41,90.0
18,Sui,SUI,2.26,,165701286.71252,7321997207.788628,1059764742.6765876,0.4796,0.3371,,1.93,14.13,0.53,83.3
40,Pepe,PEPE,1.74,,41111982.468,2367898806.348382,399811077.02376914,0.8193,-0.494,,4.99,8.71,5.59,80.0
11,Hyperliquid,HYPE,1.63,,215737533.29765004,13221089209.182535,539595216.1961217,0.5,0.6519,,9.94,33.12,0.82,90.0
28,Bittensor,TAO,1.58,,64250845.4694,4073714840.1930494,469415139.9095971,0.3306,0.2592,,9.04,10.68,0.41,76.7
47,Polygon (prev. MATIC),POL,1.1,,19238174.71404,1745516628.0949662,103592909.3962374,0.2834,0.1469,,1.24,17.96,0.51,70.0
65,Render,RENDER,1.02,,10487453.8285,1031261788.391626,48272240.41295167,0.3292,0.0702,,4.18,21.43,0.61,63.3
60,VeChain,VET,0.78,,9910239.019596,1276681229.0241232,38327195.46450264,0.6259,0.6119,,6.54,21.71,0.57,83.3
25,Toncoin,TON,0.58,,28582759.953,4914649375.8178215,122472670.03328344,-0.3605,-0.1275,,2.84,21.84,0.77,60.0
30,Internet Computer,ICP,0.43,,15423105.023999998,3609041216.998199,1082310099.1566043,0.195,-0.0796,,4.94,1.33,1.0,60.0
19,Hedera,HBAR,0.41,,28414789.5475,7013044766.200057,262486426.66374415,0.3504,0.2419,,2.5,10.24,0.88,73.3
54,Kaspa,KAS,0.28,,4087272.62765,1454990304.73826,81144639.18387967,0.5,0.394,,8.66,4.64,0.4,93.3
78,Optimism,OP,0.25,,1750850.0,699731503.3925205,95705040.1098204,0.0129,-0.0292,,2.97,1.88,1.88,73.3
2,Ethereum,ETH,0.23,,939252090.0,401539708439.9475,36809237861.27165,0.8371,0.54,,2.27,2.44,0.6,86.7
22,Monero,XMR,0.23,,15583220.365679998,6713913689.420613,159944336.34614953,2.2121,1.3167,,8.8,8.42,1.7,93.3
9,Dogecoin,DOGE,0.21,,51864570.0,24727607594.461254,1888177173.867691,0.5737,0.1094,,3.0,2.62,0.97,63.3
50,Filecoin,FIL,0.19,,2924540.0,1550748886.536502,938873803.4628172,0.5994,-0.1633,,7.65,0.34,2.25,66.7
21,Litecoin,LTC,0.18,,12356930.0,6723446013.866276,548777699.9733431,0.7712,0.5192,,3.52,2.13,0.66,80.0
23,Shiba Inu,SHIB,0.18,,9776020.639100004,5371464518.128849,150789829.65304855,0.7633,-0.1356,,2.39,6.33,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,86705985874.00502,5478127796.082193,0.6674,-0.0086,,2.26,2.59,2.5,73.3
31,Uniswap,UNI,0.15,,5106190.0,3345093318.4672246,187039256.9200076,0.432,0.4424,,3.53,2.68,0.92,80.0
42,Ethereum Classic,ETC,0.14,,3307240.0,2285848438.056803,113874107.21581954,1.0,0.6113,,3.59,2.78,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9505081628.378048,278895527.05532855,-1.1454,0.3823,,5.52,4.3,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2024433503418.056,63293583629.476524,0.7648,0.5818,,1.73,3.85,0.48,90.0
37,NEAR Protocol,NEAR,0.09,,2463380.0,2730598952.362356,417221148.1722821,0.6149,0.3936,,5.37,0.61,0.94,66.7
26,Polkadot,DOT,0.09,,4035340.0,4546532117.249685,303161719.87031466,-0.3284,-0.1423,,1.43,1.35,1.71,56.7
