symbol,first_date,last_date,days_of_data,days_stale,is_current,needs_backfill,market_cap,rank,priority_score,backfill_start,backfill_end
1INCH,2021-04-09,2025-11-02,923,1,True,False,,999,0,2025-11-03,2025-11-02
AAVE,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
ADA,2021-03-18,2025-11-02,945,1,True,False,,999,0,2025-11-03,2025-11-02
AERO,2024-02-06,2025-11-02,508,1,True,False,,999,0,2025-11-03,2025-11-02
AIOZ,2022-03-08,2025-11-02,1336,1,True,False,,999,0,2025-11-03,2025-11-02
AKT,2024-03-19,2025-11-02,594,1,True,False,,999,0,2025-11-03,2025-11-02
ALGO,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
ALICE,2022-02-24,2025-11-02,967,1,True,False,,999,0,2025-11-03,2025-11-02
AMP,2021-06-10,2025-11-02,1607,1,True,False,,999,0,2025-11-03,2025-11-02
ANKR,2021-03-25,2025-11-02,938,1,True,False,,999,0,2025-11-03,2025-11-02
APE,2022-03-17,2025-11-02,946,1,True,False,,999,0,2025-11-03,2025-11-02
API3,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
APT,2022-10-19,2025-11-02,730,1,True,False,,999,0,2025-11-03,2025-11-02
ARB,2023-03-23,2025-11-02,940,1,True,False,,999,0,2025-11-03,2025-11-02
ARKM,2024-04-02,2025-11-02,580,1,True,False,,999,0,2025-11-03,2025-11-02
ATH,2025-03-13,2025-11-02,235,1,True,False,,999,0,2025-11-03,2025-11-02
ATOM,2020-01-14,2025-11-02,1008,1,True,False,,999,0,2025-11-03,2025-11-02
AUDIO,2023-01-26,2025-11-02,1012,1,True,False,,999,0,2025-11-03,2025-11-02
AVAX,2021-09-30,2025-11-02,749,1,True,False,,999,0,2025-11-03,2025-11-02
AXL,2023-02-07,2025-11-02,1000,1,True,False,,999,0,2025-11-03,2025-11-02
AXS,2021-08-12,2025-11-02,798,1,True,False,,999,0,2025-11-03,2025-11-02
BAL,2020-10-06,2025-11-02,742,1,True,False,,999,0,2025-11-03,2025-11-02
BAND,2020-08-11,2025-11-02,798,1,True,False,,999,0,2025-11-03,2025-11-02
BAT,2021-04-20,2025-11-02,912,1,True,False,,999,0,2025-11-03,2025-11-02
BCH,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
BICO,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
BIO,2025-07-31,2025-11-02,95,1,True,False,,999,0,2025-11-03,2025-11-02
BLUR,2023-02-14,2025-11-02,977,1,True,False,,999,0,2025-11-03,2025-11-02
BNB,2025-10-22,2025-11-02,12,1,True,False,,999,0,2025-11-03,2025-11-02
BNT,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
BONK,2024-01-01,2025-11-02,672,1,True,False,,999,0,2025-11-03,2025-11-02
BTC,2020-01-01,2025-11-01,2132,2,True,False,,999,0,2025-11-02,2025-11-02
BTRST,2021-09-15,2025-11-02,1510,1,True,False,,999,0,2025-11-03,2025-11-02
CAKE,2025-06-12,2025-11-02,144,1,True,False,,999,0,2025-11-03,2025-11-02
CELO,2020-09-01,2025-11-02,267,1,True,False,,999,0,2025-11-03,2025-11-02
CELR,2022-08-16,2025-11-02,1175,1,True,False,,999,0,2025-11-03,2025-11-02
CFG,2025-09-25,2025-11-02,39,1,True,False,,999,0,2025-11-03,2025-11-02
CHZ,2021-06-17,2025-11-02,854,1,True,False,,999,0,2025-11-03,2025-11-02
COMP,2020-06-23,2025-11-02,847,1,True,False,,999,0,2025-11-03,2025-11-02
COTI,2021-08-26,2025-11-02,784,1,True,False,,999,0,2025-11-03,2025-11-02
CRO,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
CRV,2021-03-25,2025-11-02,938,1,True,False,,999,0,2025-11-03,2025-11-02
CTSI,2021-05-06,2025-11-02,896,1,True,False,,999,0,2025-11-03,2025-11-02
CVC,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
CVX,2022-09-08,2025-11-02,771,1,True,False,,999,0,2025-11-03,2025-11-02
DAI,2020-04-30,2025-11-02,901,1,True,False,,999,0,2025-11-03,2025-11-02
DASH,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
DIA,2022-01-25,2025-11-02,1378,1,True,False,,999,0,2025-11-03,2025-11-02
DOGE,2021-06-03,2025-11-02,868,1,True,False,,999,0,2025-11-03,2025-11-02
DOT,2021-06-16,2025-11-02,855,1,True,False,,999,0,2025-11-03,2025-11-02
DRIFT,2024-05-17,2025-11-02,535,1,True,False,,999,0,2025-11-03,2025-11-02
EGLD,2023-01-01,2025-11-02,1037,1,True,False,,999,0,2025-11-03,2025-11-02
EIGEN,2024-10-01,2025-11-02,398,1,True,False,,999,0,2025-11-03,2025-11-02
ELA,2022-06-22,2025-11-02,1230,1,True,False,,999,0,2025-11-03,2025-11-02
ENA,2025-06-05,2025-11-02,151,1,True,False,,999,0,2025-11-03,2025-11-02
ENS,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
EOS,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
ETC,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
ETH,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
ETHFI,2025-02-06,2025-11-02,270,1,True,False,,999,0,2025-11-03,2025-11-02
FARTCOIN,2025-06-12,2025-11-02,144,1,True,False,,999,0,2025-11-03,2025-11-02
FET,2021-07-27,2025-11-02,814,1,True,False,,999,0,2025-11-03,2025-11-02
FIL,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
FLOKI,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
FLOW,2022-05-19,2025-11-02,883,1,True,False,,999,0,2025-11-03,2025-11-02
FLR,2023-04-14,2025-11-02,918,1,True,False,,999,0,2025-11-03,2025-11-02
GIGA,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
GLM,2022-03-09,2025-11-02,1335,1,True,False,,999,0,2025-11-03,2025-11-02
GMT,2022-04-28,2025-11-02,904,1,True,False,,999,0,2025-11-03,2025-11-02
GNO,2022-07-21,2025-11-02,820,1,True,False,,999,0,2025-11-03,2025-11-02
GRT,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
HBAR,2022-10-13,2025-11-02,132,1,True,False,,999,0,2025-11-03,2025-11-02
HNT,2023-07-12,2025-11-02,845,1,True,False,,999,0,2025-11-03,2025-11-02
ICP,2021-05-10,2025-11-02,892,1,True,False,,999,0,2025-11-03,2025-11-02
ILV,2022-10-13,2025-11-02,1117,1,True,False,,999,0,2025-11-03,2025-11-02
IMX,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
INJ,2022-09-20,2025-11-02,759,1,True,False,,999,0,2025-11-03,2025-11-02
IO,2024-10-09,2025-11-02,390,1,True,False,,999,0,2025-11-03,2025-11-02
IOTX,2021-08-12,2025-11-02,1544,1,True,False,,999,0,2025-11-03,2025-11-02
JASMY,2021-10-07,2025-11-02,742,1,True,False,,999,0,2025-11-03,2025-11-02
JTO,2024-01-01,2025-11-02,672,1,True,False,,999,0,2025-11-03,2025-11-02
KAVA,2023-01-19,2025-11-02,1003,1,True,False,,999,0,2025-11-03,2025-11-02
KNC,2020-02-25,2025-11-02,966,1,True,False,,999,0,2025-11-03,2025-11-02
KSM,2022-06-02,2025-11-02,869,1,True,False,,999,0,2025-11-03,2025-11-02
LA,2025-06-04,2025-11-02,152,1,True,False,,999,0,2025-11-03,2025-11-02
LDO,2023-01-01,2025-11-02,1037,1,True,False,,999,0,2025-11-03,2025-11-02
LINK,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
LPT,2021-06-24,2025-11-02,847,1,True,False,,999,0,2025-11-03,2025-11-02
LRC,2020-09-15,2025-11-02,763,1,True,False,,999,0,2025-11-03,2025-11-02
LTC,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
MAGIC,2023-01-01,2025-11-02,1037,1,True,False,,999,0,2025-11-03,2025-11-02
MANA,2021-04-20,2025-11-02,912,1,True,False,,999,0,2025-11-03,2025-11-02
MASK,2021-07-15,2025-11-02,826,1,True,False,,999,0,2025-11-03,2025-11-02
ME,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
METIS,2022-06-28,2025-11-02,331,1,True,False,,999,0,2025-11-03,2025-11-02
MINA,2022-04-06,2025-11-02,926,1,True,False,,999,0,2025-11-03,2025-11-02
MKR,2020-06-09,2025-11-02,1973,1,True,False,,999,0,2025-11-03,2025-11-02
MLN,2021-06-10,2025-11-02,861,1,True,False,,999,0,2025-11-03,2025-11-02
MOG,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
MORPHO,2025-02-27,2025-11-02,249,1,True,False,,999,0,2025-11-03,2025-11-02
NEAR,2022-09-01,2025-11-02,778,1,True,False,,999,0,2025-11-03,2025-11-02
NKN,2021-04-09,2025-11-02,1669,1,True,False,,999,0,2025-11-03,2025-11-02
NMR,2020-08-18,2025-11-02,791,1,True,False,,999,0,2025-11-03,2025-11-02
OCEAN,2022-09-08,2025-11-02,771,1,True,False,,999,0,2025-11-03,2025-11-02
OGN,2021-04-09,2025-11-02,923,1,True,False,,999,0,2025-11-03,2025-11-02
ONDO,2024-01-22,2025-11-02,651,1,True,False,,999,0,2025-11-03,2025-11-02
OP,2022-06-01,2025-11-02,870,1,True,False,,999,0,2025-11-03,2025-11-02
OSMO,2023-05-25,2025-11-02,893,1,True,False,,999,0,2025-11-03,2025-11-02
OXT,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
PAX,2021-07-27,2025-11-02,1554,1,True,False,,999,0,2025-11-03,2025-11-02
PAXG,2025-05-08,2025-11-02,179,1,True,False,,999,0,2025-11-03,2025-11-02
PENDLE,2025-03-27,2025-11-02,221,1,True,False,,999,0,2025-11-03,2025-11-02
PENGU,2025-02-13,2025-11-02,263,1,True,False,,999,0,2025-11-03,2025-11-02
PEPE,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
PERP,2021-10-19,2025-11-02,730,1,True,False,,999,0,2025-11-03,2025-11-02
PNUT,2025-01-14,2025-11-02,293,1,True,False,,999,0,2025-11-03,2025-11-02
POL,2024-09-04,2025-11-02,425,1,True,False,,999,0,2025-11-03,2025-11-02
POLS,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
POPCAT,2025-02-13,2025-11-02,263,1,True,False,,999,0,2025-11-03,2025-11-02
POWR,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
PRIME,2023-03-01,2025-11-02,689,1,True,False,,999,0,2025-11-03,2025-11-02
PUNDIX,2022-09-20,2025-11-02,1140,1,True,False,,999,0,2025-11-03,2025-11-02
PYR,2023-01-01,2025-11-02,1037,1,True,False,,999,0,2025-11-03,2025-11-02
PYTH,2025-02-20,2025-11-02,256,1,True,False,,999,0,2025-11-03,2025-11-02
QNT,2021-06-24,2025-11-02,1593,1,True,False,,999,0,2025-11-03,2025-11-02
RAD,2021-09-01,2025-11-02,778,1,True,False,,999,0,2025-11-03,2025-11-02
RENDER,2024-02-15,2025-11-02,627,1,True,False,,999,0,2025-11-03,2025-11-02
REQ,2021-08-12,2025-11-02,798,1,True,False,,999,0,2025-11-03,2025-11-02
RLC,2021-05-06,2025-11-02,896,1,True,False,,999,0,2025-11-03,2025-11-02
ROSE,2022-04-26,2025-11-02,1287,1,True,False,,999,0,2025-11-03,2025-11-02
RPL,2023-01-01,2025-11-02,1037,1,True,False,,999,0,2025-11-03,2025-11-02
RSR,2025-04-22,2025-11-02,195,1,True,False,,999,0,2025-11-03,2025-11-02
SAFE,2024-04-23,2025-11-02,559,1,True,False,,999,0,2025-11-03,2025-11-02
SAND,2022-05-26,2025-11-02,876,1,True,False,,999,0,2025-11-03,2025-11-02
SEI,2023-08-15,2025-11-02,795,1,True,False,,999,0,2025-11-03,2025-11-02
SHIB,2021-09-09,2025-11-02,770,1,True,False,,999,0,2025-11-03,2025-11-02
SKL,2021-03-11,2025-11-02,1698,1,True,False,,999,0,2025-11-03,2025-11-02
SNX,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
SOL,2021-06-17,2025-11-02,854,1,True,False,,999,0,2025-11-03,2025-11-02
SPX,2025-09-09,2025-11-02,55,1,True,False,,999,0,2025-11-03,2025-11-02
STORJ,2021-03-25,2025-11-02,938,1,True,False,,999,0,2025-11-03,2025-11-02
STRK,2024-02-21,2025-11-02,621,1,True,False,,999,0,2025-11-03,2025-11-02
STX,2022-01-20,2025-11-02,1002,1,True,False,,999,0,2025-11-03,2025-11-02
SUI,2023-05-18,2025-11-02,884,1,True,False,,999,0,2025-11-03,2025-11-02
SUPER,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
SUSHI,2021-03-11,2025-11-02,952,1,True,False,,999,0,2025-11-03,2025-11-02
T,2023-01-26,2025-11-02,1012,1,True,False,,999,0,2025-11-03,2025-11-02
TAO,2025-02-20,2025-11-02,256,1,True,False,,999,0,2025-11-03,2025-11-02
TIA,2024-01-01,2025-11-02,672,1,True,False,,999,0,2025-11-03,2025-11-02
TRAC,2022-01-01,2025-11-02,1402,1,True,False,,999,0,2025-11-03,2025-11-02
TRB,2021-05-06,2025-11-02,1642,1,True,False,,999,0,2025-11-03,2025-11-02
TURBO,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
UMA,2020-09-08,2025-11-02,770,1,True,False,,999,0,2025-11-03,2025-11-02
UNI,2020-09-17,2025-11-02,761,1,True,False,,999,0,2025-11-03,2025-11-02
USDT,2021-05-04,2025-11-02,898,1,True,False,,999,0,2025-11-03,2025-11-02
VET,2023-09-13,2025-11-02,782,1,True,False,,999,0,2025-11-03,2025-11-02
VTHO,2023-09-13,2025-11-02,782,1,True,False,,999,0,2025-11-03,2025-11-02
W,2025-07-02,2025-11-02,124,1,True,False,,999,0,2025-11-03,2025-11-02
WIF,2024-12-29,2025-11-02,309,1,True,False,,999,0,2025-11-03,2025-11-02
WLD,2025-04-30,2025-11-02,187,1,True,False,,999,0,2025-11-03,2025-11-02
XCN,2022-06-28,2025-11-02,1224,1,True,False,,999,0,2025-11-03,2025-11-02
XLM,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
XRP,2020-01-01,2025-11-02,1105,1,True,False,,999,0,2025-11-03,2025-11-02
XTZ,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
XYO,2021-09-09,2025-11-02,132,1,True,False,,999,0,2025-11-03,2025-11-02
YFI,2020-09-15,2025-11-02,763,1,True,False,,999,0,2025-11-03,2025-11-02
ZEC,2021-01-01,2025-11-02,1767,1,True,False,,999,0,2025-11-03,2025-11-02
ZEN,2021-09-16,2025-11-02,1498,1,True,False,,999,0,2025-11-03,2025-11-02
ZETA,2024-02-01,2025-11-02,641,1,True,False,,999,0,2025-11-03,2025-11-02
ZK,2024-09-25,2025-11-02,404,1,True,False,,999,0,2025-11-03,2025-11-02
ZRO,2024-06-20,2025-11-02,501,1,True,False,,999,0,2025-11-03,2025-11-02
ZRX,2020-01-01,2025-11-02,2133,1,True,False,,999,0,2025-11-03,2025-11-02
